项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
其他,59981,文化传承——庆阳黄土民俗,筹集结束,30000,80,1,5,0.00,13,1,否,项目结束后30天发送回报,0,4,NOTFOUND,2014-03-18 00:00,16910,1,NOTFOUND
其他,59980,泸沽湖背面的他们,筹集结束,6000,470,5,5,0.00,21,6,否,项目结束后90天发送回报,0,1,NOTFOUND,2014-02-11 00:00,17174,5,NOTFOUND
其他,59934,正宗西北农家自制荞皮枕芯——养生保健佳品,筹集结束,20000,1925,11,4,0.00,13,11,否,项目结束后30天发送回报,0,4,NOTFOUND,2014-02-28 00:00,23286,14,NOTFOUND
其他,59889,沧州特产金丝小枣，原产地供应天然无公害，红红火火过大年,筹集结束,900,415,5,4,0.00,7,6,否,项目结束后10天发送回报,0,1,NOTFOUND,2014-02-05 00:00,27743,5,NOTFOUND
其他,59881,小农场的健康大梦想,筹集结束,5000,150,3,2,0.00,14,4,否,项目结束后0天发送回报,0,1,NOTFOUND,2014-02-10 00:00,22785,3,NOTFOUND
其他,59829,2014年新年活动——34张明信片，散遍神州大地,筹集成功,1000,1045,26,3,0.00,13,33,否,项目结束后0天发送回报,4,2,NOTFOUND,2014-01-30 00:00,38902,27,3
其他,59781,Tira&amp;Misu的魔法甜点 ,筹集成功,2000,2004,27,5,0.00,9,32,否,项目结束后4天发送回报,83,1,上海市市辖区,2014-02-19 00:00,81543,27,NOTFOUND
其他,59699,甘木人的魔术工作坊,筹集结束,15000,1674,6,5,0.00,14,6,否,项目结束后30天发送回报,0,1,四川省成都市,2013-12-21 00:00,134989,7,2
其他,59687,扑吧：一起扑向内心的生活吧,筹集成功,1500,1515,15,7,0.00,21,22,否,项目结束后60天发送回报,0,1,NOTFOUND,2014-02-19 00:00,156428,17,NOTFOUND
其他,59941,青橘众筹,筹集中,10000000,635,104,1,0.00,11,147,否,不确定,7,4,上海市市辖区,2020-01-01 00:00,435531,147,49
