项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,63344,坐忘书吧，一起打造属于我们大家的公共书房,筹集成功,2000,2320,26,9,5.00,23,32,是,项目结束后60天发送回报,1,1,NOTFOUND,2014-11-14 00:00,83488,47,102
活动,63199,读懂大学 ——让高中生了解真实的中国大学（第一季）,筹集结束,10000,10,1,5,10.00,17,3,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-10-18 00:00,146474,25,79
活动,63221,《十万个冷笑话》舞台剧SNH48粉丝安可专场,筹集成功,4800,5039,29,4,100.00,11,30,是,项目结束后5天发送回报,0,1,NOTFOUND,2014-09-21 00:00,207613,54,255
活动,62795,NOTFOUND,筹集结束,1000000,4173.99,29,6,500.00,15,43,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-11-08 00:00,243720,94,197
活动,63031,认领猫狗，一起帮助田阿姨继续运营“猫狗救助站”,筹集成功,10000,10145,89,5,10.00,18,127,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-10-01 00:00,547052,237,527
活动,62997,大理古城最大的青年旅舍——众筹建设换大理免费旅行,筹集结束,200000,700,6,3,100.00,19,6,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-10-26 00:00,66536,17,71
活动,63017,家：雅安全家福公益摄影展,筹集结束,10000,620,3,5,20.00,18,5,是,不确定,2,1,NOTFOUND,2014-10-06 00:00,238587,5,273
活动,62956,分享故事、消除偏见，这是你身边的世界—济南Ithink上海行,筹集结束,600,10,1,5,10.00,12,1,否,不确定,0,1,NOTFOUND,2014-09-11 00:00,16510,2,8
活动,62898,爱折腾，有能力的向上青年！山东财经大学黑苹果青年社团筹款信,筹集结束,900,5,1,6,5.00,20,1,是,不确定,0,1,NOTFOUND,2014-09-08 00:00,17473,1,6
活动,62701,NOTFOUND,筹集成功,3000,3700,133,4,20.00,20,137,是,项目结束后15天发送回报,1,1,NOTFOUND,2014-09-02 00:00,167864,136,199
活动,62872,公众之益--洛阳纸墨长馨公益--带着求学者的希望去上海！,筹集结束,505,5,2,6,5.00,19,2,否,不确定,1,1,NOTFOUND,2014-09-02 00:00,15007,2,5
活动,62870,陕西青年-司维学，众筹路费去上海,筹集结束,325,70,3,5,10.00,16,3,否,不确定,0,1,NOTFOUND,2014-08-23 00:00,15353,4,3
