项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
设计,61603,单身饰品—— 遇见不再错过！,筹集结束,2000,5,2,7,25.00,22,3,否,项目结束后15天发送回报,1,1,NOTFOUND,2014-07-04 00:00,12582,2,7
设计,61630,【为梦而生】原创设计手工复古实木台灯,筹集结束,2000,9,1,5,9.00,18,5,是,项目结束后20天发送回报,0,1,NOTFOUND,2014-07-04 00:00,55270,2,81
设计,61481,邀请2014位中国梦想家，一起体验-7062的深度魅力,筹集结束,2014,1173,93,1,0.00,14,99,否,不确定,0,1,NOTFOUND,2014-05-27 00:00,63168,94,126
设计,61386,木头人，手串制作工艺，翻新老旧木料坊,筹集成功,5400,10304,33,7,54.00,35,69,否,项目结束后20天发送回报,1,10,四川省成都市,2014-06-18 00:00,171923,36,474
设计,61016,虚拟现实眼镜Box Glass盒子眼镜,筹集结束,10000,3439,64,4,0.00,9,87,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-05-28 00:00,196040,66,380
设计,60720,改变不了天上的雾霾，那就改变屋里的空气,筹集结束,5000,0,0,5,0.00,25,3,是,项目结束后5天发送回报,0,1,NOTFOUND,2014-05-15 00:00,14604,NOTFOUND,5
设计,60302,哈友，无广告的视频分享平台,筹集结束,200000,50,1,4,0.00,12,5,否,不确定,1,1,NOTFOUND,2014-07-09 00:00,121764,1,149
设计,60223,春暖花开，带着旅行者笔记本去旅行 ,筹集结束,6000,400,3,6,0.00,20,5,否,项目结束后60天发送回报,1,2,NOTFOUND,2014-05-18 00:00,55297,3,6
设计,60091,无名设计，平面设计公司——一位90后少年执着三年的梦想,筹集结束,60000,1100,7,6,0.00,22,16,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-05-26 00:00,47907,8,4
设计,60104,80后妈妈的自白：我逼着自己去创业,筹集成功,1500,1500,13,5,0.00,22,23,否,项目结束后5天发送回报,0,1,NOTFOUND,2014-03-22 00:00,129624,14,6
设计,59988,情人节：为Ta做一串与众不同的贝壳风铃,筹集结束,500,100,5,3,0.00,15,5,是,项目结束后15天发送回报,13,4,山东省青岛市,2014-02-27 00:00,49244,5,NOTFOUND
设计,59950,金箍棒-自己用的爽的套套,筹集结束,50000,0,0,2,0.00,12,4,否,项目结束后15天发送回报,13,4,山东省青岛市,2014-02-16 00:00,15828,NOTFOUND,NOTFOUND
设计,59806,微图馆——为你画一张手纸画（梦想与公益的结合）,筹集结束,3500,50,3,8,0.00,8,4,否,项目结束后7天发送回报,2,2,NOTFOUND,2014-01-08 00:00,17507,3,NOTFOUND
设计,59802,手工爱好者也有春天，旅行者日记工作室启动资金筹集,筹集成功,1000,1150,12,2,0.00,17,23,否,项目结束后30天发送回报,1,2,NOTFOUND,2014-01-13 00:00,155648,12,NOTFOUND
设计,59718,带状的婴儿尿湿提醒器,筹集结束,100000,0,0,3,0.00,19,0,否,项目结束后20天发送回报,0,1,NOTFOUND,2014-01-13 00:00,13824,NOTFOUND,NOTFOUND
