项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,359752,达伦LED吸顶灯DL-C207TXW，手机掌控智能家居时代,筹资成功,50000,53164,151,6,299.00,64,7,55,否,预计筹资结束后30天内,245,0,1,210,100,江苏苏州,已经结束
家居生活,345341," 那刻智能镜-未来生活的信息中心",筹资成功,10000,52947,50,3,999.00,9,25,0,否,预计筹资结束后30天内,2,0,1,53,10,北京朝阳区,已经结束
家居生活,344829,Broadvi不用电的移动开关,筹资成功,50000,51862,109,7,128.00,4,16,0,否,预计筹资结束后45天内,4,0,1,119,27,上海黄浦区,已经结束
家居生活,346325,智能触摸反馈开关FB1,筹资成功,5000,52038,90,12,69.00,17,8,0,否,预计筹资结束后20天内,10,1,5,182,19,广东广州,已经结束
家居生活,345535,momoda床头宝——互联网智能闹钟,筹资成功,10000,51500,421,4,30.00,27,61,5,否,预计筹资结束后40天内,1,0,1,576,50,广东深圳,已经结束
家居生活,345815,几维智能家居－轻致生活，触手可及,筹资成功,10000,50906,175,9,60.00,6,43,0,否,预计筹资结束后7天内,2,1,1,215,30,广东广州,已经结束
家居生活,346315,37智能血压计,筹资成功,10000,50480,88,5,338.00,17,17,0,否,预计筹资结束后60天内,0,1,1,115,10,北京海淀区,已经结束
家居生活,347561,Cooree乐生活智能健康秤——健康之旅 从Ta开始,筹资成功,10000,50478,113,8,99.00,20,30,1,否,预计筹资结束后15天内,0,5,1,143,10,四川成都,已经结束
家居生活,341054,milq咪库智能感温调奶棒,筹资成功,10000,50100,472,4,30.00,16,45,1,否,预计筹资结束后35天内,3,0,1,717,100,重庆渝北区,已经结束
家居生活,316276,加入Yeelight智能家庭灯光系统，成为首席体验师,筹资成功,10000,48958,196,8,10.00,31,123,5,是,预计筹资结束后30天内,6,2,2,207,28,山东青岛,已经结束
家居生活,349586,小蜂微门铃-全球首款可微信的门铃,筹资成功,10000,48439,660,6,499.00,31,142,9,是,预计筹资结束后30天内,4,0,1,727,633,NOTFOUND,已经结束
家居生活,346533,Mi可贴--红外遥控器的终结者    智能家电的缔造者,筹资成功,10000,47513,437,7,49.00,30,92,2,否,预计筹资结束后45天内,14,0,2,562,31,广东深圳,已经结束
家居生活,315063,Wi-Fi智能插座,筹资成功,10000,47929,214,7,129.00,11,169,2,是,预计筹资结束后3天内,27,1,3,220,10,浙江杭州,已经结束
家居生活,346612,爱康泰-孕橙助孕计：女性智能基础体温计,筹资成功,10000,42229,177,7,128.00,10,24,1,是,预计筹资结束后7天内,0,1,1,185,100,北京海淀区,已经结束
家居生活,324019,U-Lamp：感应无所不在，您的贴心台灯,筹资成功,10000,43424,121,9,99.00,15,43,1,否,预计筹资结束后30天内,0,2,1,128,10,中国广东,已经结束
家居生活,347951,脸蛋智能肌肤测试仪，项目最后一天，惊喜连连，5台免费送！,筹资成功,10000,42000,130,6,68.00,8,10,0,否,预计筹资结束后30天内,2,0,1,173,48,广东深圳,已经结束
家居生活,346534,世界上最聪明的空气质量检测------智能空气小精灵,筹资成功,10000,41664,164,8,10.00,26,41,1,否,预计筹资结束后45天内,14,0,2,220,98,广东深圳,已经结束
家居生活,342432,hellofit智能心电监测贴,筹资成功,10000,41386,163,7,199.00,11,29,2,否,预计筹资结束后40天内,1,0,1,179,100,北京海淀区,已经结束
家居生活,346346,糖果智能温度计---不只是体温计的智能温度计,筹资成功,20000,39060,192,7,128.00,9,30,0,否,预计筹资结束后30天内,1,0,1,198,20,NOTFOUND,已经结束
家居生活,346215,Orangelink宠物宝 可视远程智能喂食器,筹资成功,10000,38631,68,7,489.00,17,23,1,否,预计筹资结束后45天内,5,0,1,70,69,广东中山,已经结束
家居生活,360303,泡茶神器，智能茶艺师,筹资成功,10000,38612,177,5,2.00,63,5,60,否,预计筹资结束后30天内,456,2,2,196,115,广东深圳,已经结束
家居生活,344568,revogi 智能排插---连接，控制，节能,筹资成功,20000,38146,165,4,169.00,17,33,0,否,预计筹资结束后30天内,8,0,2,194,10,广东深圳,已经结束
家居生活,342664,Glory-果谷智能RGBW球泡灯,筹资成功,10000,37262,117,4,199.00,9,20,1,否,预计筹资结束后30天内,1,0,2,138,20,其他,已经结束
家居生活,342154,让你一见钟情的电子潮物 —— FORFIRST智能插座,筹资成功,10000,36459,248,11,48.00,30,34,3,是,预计筹资结束后30天内,0,2,1,324,20,广东深圳,已经结束
家居生活,360471,NOKLEAD  PM2.5空气质量监测仪——安全，看得见！,筹资成功,10000,33025,231,5,388.00,47,4,48,否,预计筹资结束后30天内,321,0,1,247,185,NOTFOUND,已经结束
家居生活,341128,牙牙微视仪——随时关注牙齿健康,筹资成功,10000,32334,104,6,299.00,10,18,0,否,预计筹资结束后30天内,0,0,2,106,100,广东深圳,已经结束
家居生活,339965,乐心智能儿童身高测量仪--熊孩子家必备神器！,筹资成功,10000,31966,68,4,199.00,18,19,2,否,预计筹资结束后30天内,1,0,1,114,50,广东深圳,已经结束
家居生活,337624,甩不开的“易叠”——衣物收纳新方案（无领版）,筹资成功,5000,31693,312,7,10.00,19,31,0,否,预计筹资结束后20天内,1,0,1,388,89,浙江宁波,已经结束
家居生活,334677,时光壁钟 -- 时间与光的融合,筹资成功,15000,28078,285,8,58.00,12,44,0,否,预计筹资结束后35天内,1,0,1,316,50,广东江门,已经结束
家居生活,347011,秀控e灯：全球第一款智能语音操控家电,筹资成功,10000,26028,62,4,299.00,9,15,1,是,预计筹资结束后60天内,0,0,1,62,50,中国广东,已经结束
家居生活,367740,睡眠的开关，在哪里,筹资成功,3000,25804,111,5,2.00,45,1,9,否,预计筹资结束后10天内,157,1,1,131,57,北京朝阳区,已经结束
