项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,387355,《超级学霸》——轻松成就，快乐打造，圆中小学生的学业之梦,已成功,50000,53151,156,5,68.00,5,10,14,否,5,105,项目成功结束后立即发货,北京,已经结束
出版,648402,与诺贝尔齐名、所有欧洲王室权贵都以结交他为荣，直到70岁他都不停下探险的脚步,众筹中,50000,12651,155,4,39.00,12,0,15,否,13,NOTFOUND,项目成功结束后30天内,NOTFOUND,5天
出版,95275,你可曾梦想环游世界,已成功,5000,7903,155,6,39.00,4,3,16,否,6,128,项目成功结束后10天内,北京,已经结束
出版,306343,非典型理工男博士100天环游北美的故事——《跨国界乌托邦》众筹出版,已成功,68000,68008,155,4,18.00,31,11,78,否,17,10,项目成功结束后30天内,北京,已经结束
出版,314779,《互联网生态》——第一本讲述如何构建互联网生态，实现企业战略转型的实战指南！,已成功,50000,50271,154,4,45.00,6,18,44,否,7,107,项目成功结束后立即发货,北京,已经结束
出版,287254,两岸最强的民营出版人，为您讲述经营之道——《梦想与现实：经营出版经验谈》,已成功,35000,35010,153,3,10.00,4,10,21,否,29,30,项目成功结束后60天内,福建 厦门,已经结束
出版,310510,“声动冰城·为爱朗读”， 做一名为孩子读书的好爸妈、好老师,已成功,18000,31499,153,6,10.00,8,21,57,否,33,32,项目成功结束后30天内,黑龙江 哈尔滨,已经结束
出版,203311,活在钢筋水泥垒砌的城市， 干脆用铁丝编织一个花样生活 ——《指尖上的铁艺》,已成功,10000,10030,153,4,25.00,15,7,24,否,2,101,项目成功结束后立即发货,北京,已经结束
出版,568861,《小小汽车工程师》（玩具书），一本可以“拆”的儿童书,已成功,5800,7374,153,1,1.00,4,0,7,否,1,3,项目成功结束后10天内,北京,已经结束
出版,462247,《穿越库布齐沙漠》：一曲塞外同行的战歌,已成功,50000,52600,152,5,98.00,19,6,21,否,28,92,项目成功结束后10天内,山西 太原,已经结束
出版,20346,《新概念字体基础＆应用》一本全面解决字体设计问题的图书！,已成功,20000,21554,152,4,1.00,12,3,104,否,0,56,项目成功结束后30天内,陕西 西安,已经结束
出版,435988,《漂亮主妇》：中国版的《绝望主妇》，书写中国式主妇的内心最强音,已成功,10000,14694,152,5,35.00,10,5,19,否,28,94,项目成功结束后立即发货,北京,已经结束
出版,414937,《做庄》—— 跳出农业做产业，破题新农业投资，玩转东方庄园经济,已成功,10000,10332,152,4,1.00,5,17,24,否,26,18,项目成功结束后30天内,湖北 武汉,已经结束
出版,531787,瑜伽，柔韧的不只有身体，还有生命力,已成功,20000,24172,151,4,2.00,7,0,23,是,7,100,项目成功结束后立即发货,北京,已经结束
出版,491833,《泡菜薯条遇见炸酱面》，洋博士中国那些囧事儿,已成功,10000,10612,150,5,8.00,5,6,33,否,14,67,项目成功结束后7天内,北京,已经结束
出版,305962,《新文明简史》—当真相来临时并非所有人做好了准备,已成功,50000,50384,149,4,5.00,5,15,48,否,18,52,项目成功结束后60天内,北京,已经结束
出版,177928,《混凝土艺术》带您畅游混凝土世界！,已成功,56000,57100,147,3,100.00,2,4,5,否,0,131,项目成功结束后50天内,北京,已经结束
出版,212884,《27天做一个职业营销选手》,已成功,36500,43553,146,6,29.00,4,7,42,否,9,65,项目成功结束后立即发货,广东 深圳,已经结束
出版,14933,【男神求带走】钢琴王子，中国肖邦——李云迪！,已成功,8000,9050,145,2,28.00,2,3,4,否,0,92,项目成功结束后25天内,北京,已经结束
出版,22325,2015年金庸武侠台历，“金庸御用画家”李志清先生独家授权，超大手笔，前所未有！,已成功,50000,51565,145,8,8.00,11,3,38,否,6,28,项目成功结束后30天内,广东 广州,已经结束
出版,189895,《魂归天柱》|铭记历史，勿忘国耻，圆梦中华,已成功,35000,35188,143,6,10.00,7,7,29,是,26,26,项目成功结束后30天内,安徽 安庆,已经结束
出版,75109,克劳利《透特之书》（the Book of Thoth）翻译出版项目,已成功,60000,63681,142,7,69.00,6,8,71,否,9,28,项目成功结束后90天内,四川 成都,已经结束
出版,131044,英国DK畅销书原版引进 视觉历史—《刀剑》、《枪》蓄势待发,已成功,10000,28012,142,10,1.00,6,4,29,否,5,53,项目成功结束后15天内,山东 济南,已经结束
出版,3020,《连接时代》：互联网创业者梁海宏揭秘未来网络化商业模式,已成功,50000,53025,141,8,15.00,3,3,15,否,0,6,项目成功结束后30天内,北京,已经结束
