项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,179257,妈妈，蔬菜原来是甜的！--屋顶儿童菜园众筹项目,已成功,15000,16108,353,5,10.00,13,4,63,否,51,232,项目成功结束后立即发货,福建 厦门,已经结束
公益,187642,记忆盒子，给爸妈的重阳节礼物！,已成功,3000,5104,353,2,3.00,4,9,12,否,173,157,项目成功结束后20天内,上海,已经结束
公益,127156,急援尼泊尔地震 关爱尼泊尔及西藏灾区妇女儿童,已成功,10000,18838,347,2,8.00,3,5,21,否,106,151,项目成功结束后15天内,西藏 日喀则,已经结束
公益,441331,“益童成长”留守儿童社会工作服务项目,已成功,30000,30006,343,4,1.00,8,6,14,否,222,20,项目成功结束后立即发货,重庆,已经结束
公益,140695,和西北贫困地区的孩子们一起成长,已成功,12000,12544,341,5,10.00,6,11,82,否,82,126,项目成功结束后7天内,甘肃 白银,已经结束
公益,95116,应对气候变化——南极远征计划,已成功,20000,62888,336,5,40.00,7,3,11,是,88,41,项目成功结束后90天内,北京,已经结束
公益,282892,【县长众筹】暖冬行动--山区孤残老人关爱项目,已成功,30000,41479,336,10,10.00,11,11,112,否,101,85,项目成功结束后20天内,湖北 恩施,已经结束
公益,177325,星语星愿——国际自闭症儿童关爱行动,已成功,10000,10300,332,7,1.00,10,4,35,否,71,176,项目成功结束后立即发货,重庆,已经结束
公益,166957,【青年恒好】农梦成真——点燃西部发展之火,已成功,5000,5083,328,3,10.00,8,4,22,否,243,56,项目成功结束后立即发货,天津,已经结束
公益,179431,众志成城，起步腾飞 —— 绿色营办公室建设众筹项目,已成功,15000,30738,328,4,30.00,5,4,54,否,102,87,项目成功结束后立即发货,福建 厦门,已经结束
公益,520849,她在失明的黑暗中大雪纷飞——为印度新德里西北部郊区盲人妇女筹资,已成功,10000,10260,327,13,1.00,26,7,22,否,58,165,项目成功结束后立即发货,北京,已经结束
公益,72646,阳光行动——带着盲人去旅游,已成功,40000,40504,322,6,2.00,23,6,12,是,178,55,项目成功结束后30天内,河南 郑州,已经结束
公益,551248,原来这片原始森林里藏着甜蜜,已成功,50000,50050,322,4,5.00,1,0,14,否,94,199,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,427729,护苗计划&西部阳光V行动——世纪青苗为陇灰小学的孩子筹卫生包以及筹资购买绘本,已成功,5600,5660,321,4,5.00,6,6,64,否,140,108,项目成功结束后60天内,贵州 安顺,已经结束
公益,438517,五马之约第三期——以爱之名！,已成功,10000,43063,320,6,4.00,3,6,11,否,77,193,项目成功结束后60天内,甘肃 陇南,已经结束
公益,441253,青少年心智社会实践教育,已成功,18000,18090,319,5,20.00,10,5,7,否,273,15,项目成功结束后15天内,重庆,已经结束
公益,421219,积善之家，必有馀庆-拯救百年老宅需要你！,已成功,120000,121591,314,7,20.00,17,5,28,否,214,28,项目成功结束后15天内,广东 东莞,已经结束
公益,398254,情系攀西，带爱远行,已成功,10000,10190,313,0,30.00,9,5,20,是,248,65,项目成功结束后立即发货,四川 攀枝花,已经结束
公益,408199,我们打算在宇宙中心建一座“动物园”,已成功,200000,222945,310,5,100.00,24,11,85,是,98,144,项目成功结束后30天内,北京,已经结束
公益,260323,助残居家改造工程——改变，让生活更美好,已成功,26500,26511,310,1,30.00,7,8,13,否,51,9,项目成功结束后3天内,广东 东莞,已经结束
公益,531571,一年六月是寒冬，冻伤的小手，渴望爱与温暖的呵护,已成功,30000,30331,309,4,10.00,8,12,38,否,130,58,项目成功结束后30天内,四川 甘孜,已经结束
公益,83161,遥等半世纪的回家——为耄耋老人重返家乡添砖加瓦,已成功,30000,37582,308,5,3.00,8,11,12,否,47,111,项目成功结束后立即发货,云南 昆明,已经结束
公益,374917,【卖一瓶蜂蜜 为一日生计】青泥山珍在行动,已成功,20000,20398,308,4,3.00,12,10,11,是,73,57,项目成功结束后5天内,甘肃 陇南,已经结束
公益,423283,《守护》，我不愿你们在疏忽中消失,已成功,50000,76610,307,2,0.00,9,4,17,否,297,5,项目成功结束后30天内,浙江 杭州,已经结束
公益,392476,养在深闺人未识的“生物活化石”——田河村千年银杏果,已成功,5000,5187,306,4,1.00,15,10,4,否,165,104,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,435196,一根网线，一台电脑，助农增收！,已成功,5001,5020,305,1,10.00,5,6,5,否,265,35,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,150916,送暖雪域英雄 情系可可西里——中国人民大学科考队公益在行动,已成功,6500,9627,305,5,8.00,1,5,36,否,89,119,项目成功结束后60天内,青海 玉树,已经结束
公益,587632,耒阳市洲陂乡燕中小学地板更新计划,已成功,14000,14253,304,2,10.00,3,9,19,否,125,21,项目成功结束后立即发货,湖南 衡阳,已经结束
公益,252604,史上最不靠谱的敏捷聚会,已成功,30000,30757,303,3,10.00,5,9,45,否,10,19,项目成功结束后30天内,北京,已经结束
公益,451969,为方山县农村中小学生筹备暑期“爱心午餐”,已成功,15000,15518,303,1,50.00,5,5,25,否,251,20,项目成功结束后30天内,山西 吕梁,已经结束
公益,398917,县长众筹  桃农的希望,已成功,10000,25826,302,6,1.00,15,9,31,是,33,61,项目成功结束后10天内,河南 南阳,已经结束
公益,442663,圆山区孩子艺术梦——清华大学“艺梦”支队赴大理巍山县“艺术支教，提供营养餐”项目,已成功,23000,23000,288,7,10.00,10,6,20,是,163,33,项目成功结束后立即发货,云南 大理,已经结束
公益,128494,妈妈的梦想--憨儿要工作之烘焙培训计划,已成功,88000,88500,287,3,20.00,10,9,5,是,147,42,项目成功结束后立即发货,湖南 长沙,已经结束
