项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
艺术,267991,有你的陪伴就是一种平安——百色·麽乜,已成功,5000,5008,43,8,13.00,31,6,22,否,1,30,项目成功结束后15天内,广西 百色,已经结束
艺术,76765,你多久没拿起笔写文字了,已成功,500,1321,43,3,10.00,14,3,36,否,2,15,项目成功结束后立即发货,云南 迪庆,已经结束
艺术,11328,精工自磨 琼珠星月菩提  只为最值得的你,已成功,1500,20080,42,5,128.00,30,3,155,否,0,10,项目成功结束后10天内,北京,已经结束
艺术,652878,传统铁器 匠心手作——养生手工铸铁壶,众筹中,16000,18088,42,4,129.00,37,1,14,否,0,NOTFOUND,项目成功结束后10天内,浙江 金华,16天
艺术,379345,学生独立微电影《兔子先生》——这是一个认真的童话故事,已成功,8000,8423,42,6,20.00,1,5,15,否,13,3,项目成功结束后30天内,上海,已经结束
艺术,616072,2017年最长情的陪伴-纯手工原创日历,已成功,5000,5005,42,4,5.00,11,2,8,否,10,7,项目成功结束后立即发货,山东 青岛,已经结束
艺术,368572,【墨华社】第五期 古风情缘 手工饰品：耳坠、手链、脚链,已成功,2000,2060,42,6,1.00,20,6,12,否,0,0,项目成功结束后7天内,江苏 连云港,已经结束
艺术,34801,即将消失的文化——手工制作毛笔,已成功,5000,11389,40,5,55.00,11,3,63,是,3,6,项目成功结束后15天内,河北 沧州,已经结束
艺术,173548,王树民 书法展回馈活动,已成功,13000,13000,40,1,100.00,7,5,15,否,0,30,项目成功结束后立即发货,山东 临沂,已经结束
艺术,109972,为老师办个画展 风清花雅——王奇老师美术从教四十载回首展,已成功,20000,22052,39,2,50.00,2,8,4,否,14,12,项目成功结束后10天内,河南 洛阳,已经结束
艺术,176386,手作的美好,已成功,3000,3268,39,7,1.00,9,8,57,否,0,30,项目成功结束后15天内,福建 厦门,已经结束
艺术,415750,宜兴原矿纯手工石瓢紫砂壶—现代艺术与传统艺术的完美结合！,已成功,2000,2698,39,5,2.00,12,15,13,否,0,0,项目成功结束后28天内,江苏 无锡,已经结束
艺术,18173,十月众筹见证王者归来 建国65周年版图“双币王”,已成功,9000,14700,38,3,300.00,8,3,162,否,0,33,项目成功结束后3天内,北京,已经结束
艺术,201175,定制·典雅·吉祥·韵味,已成功,5000,12020,38,3,128.00,10,9,41,否,3,6,项目成功结束后7天内,新疆 伊犁,已经结束
艺术,12773,【一珠一世界】总有一串珠子属于你 不管是奢侈还是平凡,已成功,2000,3855,38,3,35.00,16,3,136,否,0,21,项目成功结束后10天内,辽宁 大连,已经结束
艺术,176566,奇福，见证宝宝成长的每个瞬间。,已成功,1000,1143,38,5,1.00,9,5,15,否,0,3,项目成功结束后立即发货,浙江 绍兴,已经结束
艺术,138226,999元得喜燕眉梢珠宝得还有1000面值的礼品,已成功,999,2353,37,5,1.00,12,4,26,否,0,33,项目成功结束后30天内,北京,已经结束
艺术,317389,“木本自然，结缘为珠”---年底给自己和家人一份礼物（六期）,已成功,3000,11836,37,4,198.00,27,6,47,否,2,10,项目成功结束后2天内,福建 莆田,已经结束
艺术,308269,走吧 去云南 永远玩下去！,已成功,2222,2222,37,6,2.00,9,13,34,否,14,7,项目成功结束后立即发货,云南 丽江,已经结束
艺术,433372,用走心的传统泥塑匠造技艺 筹建一座工作室,已成功,5000,9313,37,1,298.00,26,12,8,是,13,12,项目成功结束后15天内,山东 青岛,已经结束
艺术,161281,【乐波珠宝】大自然的礼物——青金石的私人定制,已成功,3000,3509,37,6,1.00,14,4,12,否,0,29,项目成功结束后5天内,北京,已经结束
艺术,184168,雕花乌金砖杯托——演绎中国传统茶艺文化之美,已成功,5000,10088,37,4,1.00,19,5,24,否,0,13,项目成功结束后5天内,河北 石家庄,已经结束
艺术,274804,【神的自留地】我是姜帆，期待你Give me five，雪佛兰SUV最美中国行,已成功,500,560,37,5,5.00,4,4,3,否,5,21,项目成功结束后15天内,北京,已经结束
艺术,10370,专注天然 传递美丽 私人定制水晶手链,已成功,5000,5506,37,3,49.00,7,3,67,否,0,10,项目成功结束后5天内,广东 深圳,已经结束
艺术,77404,品味盛唐 喜从天降——女王陛下新年/婚礼红包众筹,已成功,2000,2250,37,3,20.00,7,3,5,否,4,26,项目成功结束后立即发货,北京,已经结束
艺术,442807,西安航空学院毕业微电影,已成功,1000,1258,37,3,2.00,6,5,2,否,4,27,项目成功结束后立即发货,陕西 西安,已经结束
艺术,15208,壮家手工蚕丝被 实在暖心礼,已成功,5000,12655,36,10,1.00,20,3,49,否,0,13,项目成功结束后15天内,广西 河池,已经结束
艺术,65971,【曲锐和朋友们】木版年画 张毅的中国传统文化情结,已成功,3690,4030,36,3,58.00,20,3,12,否,0,16,项目成功结束后20天内,北京,已经结束
艺术,148279,东方神木“金丝”楠 揭开真正金丝楠的面纱,已成功,2000,7808,36,10,38.00,15,4,21,是,0,1,项目成功结束后5天内,北京,已经结束
艺术,387130,学生独立公益微电影《以爱之名》——毕业设计作品,已成功,4000,4180,36,6,19.00,3,9,28,否,12,14,项目成功结束后立即发货,江苏 无锡,已经结束
艺术,629952,翰墨丹青传真情 金鸡报春福万家一书画家陆壮新春送福,已成功,30000,31313,36,2,388.00,10,1,4,否,14,5,项目成功结束后立即发货,NOTFOUND,已经结束
艺术,154225,闻香识木，轻松自制木材标本！,已成功,3000,7714,36,3,99.00,13,6,41,否,0,3,项目成功结束后立即发货,福建 厦门,已经结束
艺术,228205,北京低价超值吉他入门课，等你来玩！,已成功,2000,5711,36,6,1.00,4,5,16,否,2,9,项目成功结束后立即发货,北京,已经结束
艺术,107374,开年巨献——农村姐弟金丝楠免费送 壕礼等你拿,已成功,1000,6020,35,3,68.00,6,7,17,是,0,33,项目成功结束后1天内,四川 泸州,已经结束
艺术,134896,【幽若玉坊第二期】和田玉——手机防尘塞 你见过吗？,已成功,2000,2432,35,3,2.00,3,4,28,否,1,22,项目成功结束后15天内,新疆 乌鲁木齐,已经结束
艺术,656628,干将莫邪首饰系列——倾城之爱,众筹中,88000,1176,35,7,1.00,14,1,0,否,2,NOTFOUND,项目成功结束后30天内,江苏 苏州,27天
艺术,131824,[梦想延续]小叶紫檀手工坊的成长历程,已成功,3000,5440,34,3,65.00,9,6,55,否,0,22,项目成功结束后5天内,广东 深圳,已经结束
艺术,328621,中学生逐梦科幻微电影《新伊甸》,已成功,1000,1672,34,6,5.00,4,6,22,否,8,12,项目成功结束后30天内,山西 晋中,已经结束
艺术,31357,【素锦石】 圆我一个原创设计梦,已成功,3000,7465,34,4,58.00,19,3,29,否,1,14,项目成功结束后10天内,福建 福州,已经结束
艺术,153769,爱楠说第二季：小叶紫檀之你生命中的一抹红,已成功,2000,6904,33,9,30.00,19,35,34,否,0,3,项目成功结束后7天内,四川 乐山,已经结束
艺术,238639,疯狂石头，出矿价玩红玛瑙！,已成功,1000,4587,33,6,78.00,17,7,42,否,1,5,项目成功结束后15天内,广东 深圳,已经结束
艺术,306388,【墨华社】第三期 红袜子红玛瑙手串红红火火本命年,已成功,1000,1852,33,14,6.00,34,9,42,否,0,4,项目成功结束后7天内,江苏 连云港,已经结束
艺术,253555,【怀承驿站】来自圣城拉萨的祝福！写一张卡片，给最想念的Ta,已成功,2000,2177,33,5,1.00,17,9,18,否,2,11,项目成功结束后立即发货,西藏 拉萨,已经结束
艺术,24391,收藏纸币上的艺术——成就我铜版雕刻的梦想,已成功,5000,23888,32,4,68.00,12,3,18,否,3,5,项目成功结束后10天内,天津,已经结束
艺术,387961,艺术加装饰计划第一期,已成功,3000,3077,32,6,10.00,11,8,4,否,2,14,项目成功结束后5天内,北京,已经结束
艺术,21288,“檀“古论今 渊博雅正 带您了解帝王之木——小叶紫檀,已成功,5000,23446,32,6,198.00,38,3,32,否,0,8,项目成功结束后21天内,天津,已经结束
艺术,151789,滴血莲花 手工菩提子之王,已成功,5000,10637,32,3,79.00,14,6,21,否,0,5,项目成功结束后立即发货,福建 厦门,已经结束
艺术,346045,厦门大学学生作品：话剧《金锁记》众筹,已成功,5000,5100,32,4,20.00,12,5,11,否,7,10,项目成功结束后20天内,福建 厦门,已经结束
艺术,176935,嘘，这只是一块木头,已成功,500,583,31,1,1.00,7,5,26,否,0,8,项目成功结束后立即发货,河南 郑州,已经结束
艺术,119641,亲爱的朋友 请在此刻支持一个手绘的梦想——微笑计划,已成功,2000,2007,31,3,1.00,11,3,3,否,11,8,项目成功结束后立即发货,浙江 杭州,已经结束
艺术,152083,养生崖柏期待与您的相遇,已成功,2000,2605,31,3,65.00,5,4,20,否,0,21,项目成功结束后8天内,广西 南宁,已经结束
艺术,152572,纯与醇的浪漫手工艺,已成功,5000,5200,31,4,32.00,18,4,5,否,1,10,项目成功结束后20天内,北京,已经结束
艺术,433663,倒置的海－－杨培江写生作品展众筹,已成功,20000,20086,31,3,88.00,13,6,5,是,14,9,项目成功结束后30天内,湖北 武汉,已经结束
艺术,12196,凤凰栖桐木  红豆最相思,已成功,3000,4853,31,5,1.00,8,3,25,否,0,3,项目成功结束后3天内,北京,已经结束
艺术,88486,真实从这一刻开始——幽若玉坊原创作品,已成功,2000,2399,30,4,1.00,2,3,16,是,0,26,项目成功结束后15天内,新疆 乌鲁木齐,已经结束
艺术,52084,【思成瑗 · 原创】天然珠宝首饰手作 愿与尔遇见宝石的美,已成功,3000,5079,30,4,1.00,9,4,31,否,1,12,项目成功结束后立即发货,北京,已经结束
艺术,351685,原价68的32°极茶“功夫随身”青瓷组合 众筹价38再送价值30元的纯净茶10g,已成功,1140,1140,30,0,38.00,2,4,12,否,0,30,项目成功结束后1天内,河南 郑州,已经结束
艺术,12833,墨林壶 定制属于你的好茶器,已成功,3000,16600,30,3,380.00,20,3,64,是,0,5,项目成功结束后10天内,江苏 无锡,已经结束
艺术,17218,当下心空间 邀您品茶听琴,已成功,20000,31500,30,5,50.00,41,3,23,否,0,14,项目成功结束后30天内,上海,已经结束
艺术,374668,出矿价玩翡翠 纯天然翡翠众筹,已成功,1000,15859,30,40,149.00,41,93,139,否,4,4,项目成功结束后20天内,广东 深圳,已经结束
艺术,20757,做属于咱老百姓自己的文玩饰品,已成功,3000,4890,30,4,68.00,7,3,13,否,0,2,项目成功结束后7天内,天津,已经结束
艺术,35002,与人为善即为修行——致力打造专业的木器定制服务,已成功,5000,23896,30,3,450.00,9,3,58,否,0,8,项目成功结束后5天内,浙江 金华,已经结束
艺术,5943,纪念日收藏你的情感票据 当代书法票据艺术众筹,已成功,300000,300000,30,0,0.00,17,3,13,否,0,30,项目成功结束后30天内,上海,已经结束
艺术,27421,天然通灵水晶提升幸福感知,已成功,3000,3598,30,2,20.00,7,3,9,否,0,19,项目成功结束后30天内,河南 郑州,已经结束
艺术,33343,【粗炻糙器】盘香炉-何不与君焚香畅谈,已成功,1500,5132,30,5,38.00,11,3,22,否,0,4,项目成功结束后立即发货,广东 潮州,已经结束
艺术,107323,色彩传说—用一亿年的光阴留住那抹蓝,已成功,30000,32181,30,4,389.00,28,3,27,否,1,4,项目成功结束后5天内,北京,已经结束
艺术,455755,私人订制——紫砂大师为您定制属于自己的精品水平壶,已成功,20000,20200,29,1,680.00,15,2,12,是,3,20,项目成功结束后15天内,河北 石家庄,已经结束
艺术,21752,麒珍阁——可以寄卖马匹的高端奢侈品定制机构,已成功,10000,10200,29,4,50.00,14,3,58,否,0,4,项目成功结束后10天内,北京,已经结束
艺术,439870,咖啡师的玩具——DIY•手冲咖啡 滤杯,已成功,1800,1859,29,1,87.00,6,17,1,否,29,0,项目成功结束后6天内,湖南 株洲,已经结束
艺术,162376,【相思月】和田玉七夕献礼,已成功,5000,6162,29,2,29.00,13,8,13,否,1,3,项目成功结束后立即发货,广东 广州,已经结束
