项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
其他,9195,全球首创LOMO拍立得相机,已成功,100000,293867,349,12,350.00,28,3,1223,是,0,44,项目成功结束后5天内,广东 广州,已经结束
其他,331234,草本3D立体遮光睡罩，走到哪，睡到哪,已成功,20168,27780,347,5,1.00,11,9,25,否,12,66,项目成功结束后立即发货,广东 广州,已经结束
其他,305278,瓶盖加湿器，女神、白领必备神器。瓶盖大小的加湿器，随时随地呵护你！,已成功,2000,5865,344,5,1.00,20,11,140,是,5,100,项目成功结束后立即发货,广东 深圳,已经结束
其他,158230,太仓首个众筹项目：干洗·奢侈品养护O2O店，每件衣物分开洗！,已成功,200000,203321,344,9,1.00,8,8,14,否,4,224,项目成功结束后15天内,江苏 苏州,已经结束
其他,5127,Clean air——最小最有效的车载空气净化器,已成功,10000,74294,339,5,48.00,8,3,361,是,0,50,项目成功结束后30天内,浙江 杭州,已经结束
其他,111832,【盛景】雪山乌托邦——500元 在雪山安个家,已成功,300000,367928,337,4,500.00,10,33,121,是,19,100,项目成功结束后30天内,云南 迪庆,已经结束
其他,323581,"2016年最""清醒""的发明专利：解决亿万人喝酒难受的问题",已成功,20000,60440,337,5,1.00,2,8,88,否,24,33,项目成功结束后立即发货,广东 深圳,已经结束
其他,276949,国内首款专为儿童设计的虚拟现实眼镜——4D魔镜,已成功,5000,23309,328,4,1.00,13,8,90,是,14,102,项目成功结束后15天内,江苏 苏州,已经结束
其他,159622,全球首款轻PC——智酷超级键盘oneBoard Office,已成功,1000000,1095258,326,7,10.00,2,4,368,是,12,183,项目成功结束后15天内,北京,已经结束
其他,337090,狐狸极致超薄动圈单元入耳式耳机,已成功,5000,8470,326,5,2.00,18,14,237,否,5,100,项目成功结束后立即发货,广东 惠州,已经结束
其他,390772,Ismart智能背包,已成功,6000,6285,325,3,3.00,18,10,65,否,30,10,项目成功结束后立即发货,辽宁 大连,已经结束
其他,183580,三节课会员众筹：做一个NB的互联网产品主题学习社群,已成功,50000,151883,321,8,3.00,13,6,89,否,11,41,项目成功结束后15天内,北京,已经结束
其他,346552,一起来香格里拉纳帕海边盖房子——纳帕海青旅众筹,已成功,100000,359071,320,6,10.00,29,12,121,是,25,193,项目成功结束后90天内,云南 迪庆,已经结束
其他,370183,VR BOX升级版魔镜 虚拟现实 手机3D眼镜,已成功,10000,13434,315,6,1.00,22,17,80,否,7,30,项目成功结束后立即发货,广东 深圳,已经结束
其他,154282,小白都会操作的装电脑系统U盘 纯净版XPW7W8 电脑必备 【助力大学生创业】,已成功,8000,16209,289,4,1.00,12,20,198,否,2,86,项目成功结束后立即发货,山东 济宁,已经结束
其他,131500,METAS组合机器人五合一套装——开发智力寓教于乐,已成功,10000,24261,285,8,1.00,25,25,23,是,16,155,项目成功结束后10天内,广东 广州,已经结束
