项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
娱乐,17062,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 西安站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,陕西 西安,已经结束
娱乐,17063,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 成都站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,四川 成都,已经结束
娱乐,17229,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 长沙站,已成功,1000,1048,7,3,40.00,6,3,1,否,0,4,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,17257,【众筹网-声演坊】不可撤销2014《她 千鸟》首发巡演 厦门站,已成功,1000,1000,7,3,40.00,6,6,1,否,0,5,项目成功结束后5天内,福建 厦门,已经结束
娱乐,6293,《我的播音系女友》点映众筹抢先看-长沙站,已成功,20000,21000,6,7,45.00,5,3,0,是,0,0,项目成功结束后7天内,湖南 长沙,已经结束
娱乐,3388,【众筹网-声演坊】Maria Taylor 2014年中国巡演上海站,已成功,1000,1000,6,4,60.00,6,6,0,是,0,2,项目成功结束后3天内,上海,已经结束
娱乐,9683,【众筹网-声演坊】靳松 2014年中国巡演·广州站,已成功,1000,1000,6,4,30.00,7,6,0,是,0,2,项目成功结束后5天内,广东 广州,已经结束
娱乐,11836,【欧洲万像】《爱的升降》满堂儿女不抵半床夫妻,已成功,1000,1010,6,8,10.00,20,3,1,是,0,1,项目成功结束后30天内,北京,已经结束
娱乐,13798,《影迷》：影像心浪潮2014最佳类型季提案,已成功,3000,3000,6,4,50.00,3,3,1,是,0,0,项目成功结束后5天内,北京,已经结束
娱乐,18765,【欧洲万像第二弹】英国现场观影·《北京爱情故事》,已成功,1000,1050,6,4,80.00,8,3,1,否,0,3,项目成功结束后30天内,北京,已经结束
娱乐,18785,【欧洲万像第二弹】英国现场观影·《情笛之爱》,已成功,1000,1050,6,4,80.00,9,3,1,否,0,3,项目成功结束后30天内,北京,已经结束
娱乐,22031,万圣节假面舞会派对,已成功,600000,600000,6,1,0.00,8,3,5,否,0,0,项目成功结束后3天内,天津,已经结束
娱乐,2881,【口袋唱片】Alondra Bentley-《Ashfield Avenue》引进版唱片,已成功,1000,1000,6,4,10.00,5,6,1,是,0,2,项目成功结束后15天内,北京,已经结束
娱乐,10176,停下脚步 聆听孩子们发出的声音,已成功,2000,2360,6,3,40.00,9,3,2,是,0,0,项目成功结束后1天内,北京,已经结束
娱乐,11856,【欧洲万像】《缝缝》如何修补人与人的关系裂痕,已成功,1000,1010,6,8,10.00,15,3,1,是,0,1,项目成功结束后30天内,北京,已经结束
娱乐,19126,【欧洲万像第二弹】英国现场观影·《我不是王毛》,已成功,1000,1050,6,4,80.00,9,3,1,否,0,3,项目成功结束后30天内,北京,已经结束
娱乐,6291,《我的播音系女友》点映众筹抢先看-武汉站,已成功,20000,20965,6,7,45.00,7,3,1,是,0,1,项目成功结束后7天内,湖北 武汉,已经结束
娱乐,9676,【众筹网-声演坊】靳松 2014年中国巡演·重庆站,已成功,1000,1000,6,4,30.00,7,6,0,是,0,2,项目成功结束后5天内,重庆,已经结束
娱乐,9682,【众筹网-声演坊】靳松 2014年中国巡演·长沙站,已成功,1000,1000,6,4,30.00,7,6,0,是,0,2,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,11177,【众筹网-声演坊】Luigi Rubino2014年中国巡演·深圳站,已成功,1000,1060,6,3,70.00,6,3,1,是,0,4,项目成功结束后5天内,广东 深圳,已经结束
娱乐,11722,【众筹网-声演坊】Brazzaville 2014年中国巡演·长沙站,已成功,1000,1028,6,4,60.00,7,3,0,是,0,3,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,15071,【众筹网-声演坊】The Candle Thievies2014中国巡演·北京站,已成功,1000,1400,6,3,80.00,6,3,1,是,0,2,项目成功结束后5天内,北京,已经结束
娱乐,15077,【众筹网-声演坊】The Candle Thievies2014中国巡演·长沙站,已成功,1000,1020,6,3,60.00,6,3,1,是,0,1,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,19133,【欧洲万像第二弹】英国现场观影·《我的奶奶是天使》,已成功,1000,1050,6,4,80.00,6,3,1,否,0,3,项目成功结束后30天内,北京,已经结束
娱乐,42043,【声演坊】The Candle Thievies2015中国巡演·武汉站,已成功,1000,1010,6,3,60.00,5,3,1,是,0,0,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,42493,【声演坊】The Candle Thievies2015中国巡演·广州站,已成功,1000,1010,6,3,60.00,5,3,2,是,0,0,项目成功结束后5天内,广东 广州,已经结束
娱乐,5935,【众筹网-声演坊】Elsa Kopf 2014年中国巡演·深圳站,已成功,1000,1000,5,3,40.00,6,6,0,是,0,1,项目成功结束后5天内,广东 深圳,已经结束
娱乐,11265,【众筹网-声演坊】Luigi Rubino2014年中国巡演·广州站,已成功,1000,1050,5,3,70.00,6,3,1,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,11709,【众筹网-声演坊】Brazzaville 2014年中国巡演·武汉站,已成功,1000,1020,5,4,60.00,7,3,0,是,0,1,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,11725,【众筹网-声演坊】Brazzaville 2014年中国巡演·广州站,已成功,1000,1020,5,4,60.00,7,3,0,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,11838,【欧洲万像】《第101封情书》相濡以沫相伴而行,已成功,1000,1010,5,8,10.00,18,3,0,是,0,1,项目成功结束后30天内,北京,已经结束
娱乐,6290,《我的播音系女友》点映众筹抢先看-杭州站,已成功,20000,22175,5,7,45.00,7,3,2,是,0,0,项目成功结束后7天内,浙江 杭州,已经结束
娱乐,11718,【众筹网-声演坊】Brazzaville 2014年中国巡演·成都站,已成功,1000,1020,5,4,60.00,7,3,0,是,0,1,项目成功结束后5天内,四川 成都,已经结束
娱乐,15081,【众筹网-声演坊】The Candle Thievies 2014中国巡演·广州站,已成功,1000,1020,5,3,60.00,6,3,0,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,18064,【众筹网-声演坊】Meiko2014中国巡演 武汉站,已成功,1000,1020,5,3,60.00,6,3,1,是,0,1,项目成功结束后5天内,湖北 武汉,已经结束
