项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
动漫,17969,为梦想点灯——跟大触恩哲一起描绘《未来世界》,项目成功,5000.00,8124.00,219,5,30.00,2,0,161,2015/05/06,否,97,10,"淘宝-4.8,4.8,4.9"
动漫,10034295,童真手工娃娃 一针一线一世界,项目成功,6000.00,6064.00,34,12,108.00,3,0,257,2015/08/28,否,3,30,"-,,"
动漫,16619,为梦想点灯——跟大触艾尔学日系插画,项目成功,5000.00,34906.00,509,5,30.00,2,0,323,2015/04/25,否,287,10,"淘宝-4.8,4.8,4.9"
动漫,16176,怪物の旅，跟对的人走，哪里都是风景！,项目成功,10000.00,47226.00,383,0,0.00,1,0,433,2015/04/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,19443,一起拯救即将失传的中国狮文化！,项目成功,15000.00,15933.00,89,9,29.00,11,0,125,2015/06/22,否,39,30,"淘宝-,,"
动漫,14787,美好的旅行，从一只特别的行李箱开始！,项目成功,8000.00,21459.00,196,0,0.00,8,0,182,2015/04/16,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,14334,为梦想点灯——和绘画大师小鱼学字体设计,项目成功,3000.00,11420.00,291,3,20.00,3,0,234,2015/04/16,否,112,10,"淘宝-4.8,4.8,4.9"
动漫,18639,“全民皆乒”，世乒赛系列邮品全线出击！,项目成功,2888.00,53896.00,806,3,20.00,20,0,81,2015/05/07,否,62,30,"淘宝-,,"
动漫,31602,张小盒梦想职业系列手办中国首发！,制作中,10000.00,20168.00,132,6,49.00,12,0,235,2015/08/30,是,24,30,"-,,"
动漫,10034655,NPC&《西游记之大圣归来》联名系列产品巨献,项目成功,10000.00,1784914.00,13356,16,69.00,11,1,7129,2015/08/12,否,609,15,"-,,"
动漫,10034558,大圣归来官方授权 大公豹钥匙扣公仔挂件,项目成功,100000.00,3794097.00,76768,13,39.00,15,5,22080,2015/08/23,否,37552,40,"-,,"
