项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
设计,26358,江南印象---梦乡井,项目成功,30000.00,39147.00,61,6,389.00,21,0,504,2015/07/15,否,8,15,"淘宝-5.0,5.0,5.0"
设计,26731,NKS夏日时尚防偷手袋,项目成功,10000.00,13222.00,129,0,0.00,0,0,481,2015/07/25,是,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,25062,穹顶之下-把绿色带回家！,项目成功,100000.00,110376.00,1074,3,38.00,14,0,1414,2015/07/18,否,415,7,"淘宝-,,"
设计,30768,BOBOO缠绕蓝牙音响，红点设计大奖作品,制作中,20000.00,538218.80,9596,10,49.00,5,0,7057,2015/08/07,否,1997,30,"-,,"
设计,26656,无声的咖啡杯——咖啡杯也能开启“静音模式“,项目成功,6000.00,23181.00,162,7,89.00,26,1,429,2015/07/22,是,20,15,"淘宝-,,"
设计,26320,行走笔记,项目成功,10000.00,20247.00,341,0,0.00,15,0,321,2015/08/09,否,NOTFOUND,NOTFOUND,"淘宝-,,"
设计,31450,绝对有B格的家居品——【醉美台灯】山水系列,项目成功,80000.00,81955.00,212,8,139.00,37,0,878,2015/08/28,否,77,45,"-,,"
设计,25405,跃动大自然 袋. 动自我,项目成功,10000.00,188940.00,419,11,236.00,42,2,2179,2015/06/27,是,10,45,"淘宝-4.7,4.7,4.8"
设计,24537,肌·壳,项目成功,10000.00,21556.00,282,4,59.00,0,0,504,2015/06/22,否,200,25,"淘宝-5.0,5.0,5.0"
设计,28489,进口/彩色厨房-我的时尚厨房新主张,项目成功,100000.00,108612.00,362,1,46.00,27,0,1608,2015/07/08,否,72,30,"淘宝-,,"
设计,29976,长颈鹿架—多重功能 随意变换 引领站立方式新生活,项目成功,50000.00,54670.00,30,8,899.00,18,0,981,2015/07/30,是,5,30,"淘宝-,,"
设计,29479,与众不同/敢坐敢当——风琴式环保纸家具,项目成功,88000.00,108264.00,438,4,99.00,19,0,1778,2015/08/08,是,295,30,"淘宝-,,"
