项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,20045465,【颠覆传统模式】优质低价的私人定制浪漫海岛游来啦！,项目成功,50000.00,50040.00,26,5,60.00,2,0,1203,2016/12/09,否,7,10,"淘宝-4.8,4.8,4.7"
其他,20043984,法国木桐家族高品质奢华葡萄酒 畅游酒庄,项目成功,100000.00,108423.00,295,6,168.00,13,0,156,2016/10/03,否,223,30,"天猫-4.8,4.8,4.8"
其他,20043897,姚明限量版葡萄酒邀您分享！,项目成功,100000.00,102645.80,156,12,19.90,22,0,189,2016/09/28,否,41,7,"天猫-4.8,4.8,4.8"
其他,10092055,众筹生态农庄，为留住美好的自然产业出一份力,项目成功,50000.00,69084.00,499,0,0.00,14,0,339,2016/09/22,是,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,20050736,关注水健康 正兴阳碱性养生水杯,项目成功,39800.00,45770.00,115,1,398.00,12,3,476,2016/12/19,否,115,3,"-,,"
其他,20051699,嘉伊娜负离子防臭运动五指袜男款后跟加厚脚面透气网眼,项目成功,20000.00,39586.00,567,6,58.00,21,0,424,2016/12/18,否,287,30,"-4.8,4.8,4.7"
其他,20044462,让野生茶油走出深山,项目成功,50000.00,105613.00,10052,5,9.90,21,0,10441,2016/10/01,否,9998,5,"-4.9,4.9,4.8"
其他,10091080,陈祥云首创 素茶生活 轻瑜伽  轻一点 美一点,项目成功,50000.00,230080.40,8096,3,10.00,16,0,753,2016/09/18,否,100,20,"淘宝-,,"
其他,10091672,御马工匠丝圈脚垫 里约定制脚垫 专车专用 个性定制,项目成功,100000.00,100484.00,110,6,68.00,13,0,342,2016/09/16,否,7,30,"天猫-4.8,4.8,4.8"
其他,20045564,中秋献礼，威士忌中的极品,项目成功,50000.00,53546.00,366,5,88.00,17,0,335,2016/10/22,否,172,15,"天猫-4.8,4.8,4.6"
其他,10092102,素净儿酵素清洁领创者,项目成功,100000.00,102085.00,1624,5,11.00,12,0,460,2016/09/08,是,100,20,"淘宝-4.8,4.8,4.9"
其他,10092429,中秋定制酒礼盒 ！！最用心的中秋礼！,项目成功,20000.00,26570.00,132,7,119.00,11,1,681,2016/09/10,否,29,2,"天猫-4.8,4.8,4.7"
