项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
娱乐,10055850,来自饥饿游戏3-嘲笑鸟的定制双肩女包优哈全球首发,项目成功,2000.00,6497.00,83,3,69.00,1,0,220,2016/01/01,否,15,3,"淘宝-4.8,4.8,4.8"
娱乐,10060330,第七公社X[年兽大作战]正版授权周边服饰,项目成功,1000.00,1024.00,11,8,69.00,15,0,239,2016/02/20,否,6,7,"-4.8,4.8,4.8"
娱乐,10057375,【小门神定制新春杯壶】英国健康玻璃杯+儿童保温壶,项目成功,11300.00,17081.00,371,4,23.00,23,0,390,2016/01/24,否,97,2,"淘宝-4.7,4.7,4.8"
娱乐,10050559,《闪亮的爸爸》首播点映礼11月26日“闪亮”北京,项目成功,11028.00,32507.00,527,0,0.00,6,0,1475,2015/11/20,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10049740,《小飞侠：幻梦启航》邀你一起畅游梦幻岛,项目成功,10000.00,30443.00,497,4,19.00,4,0,1887,2015/12/01,否,193,30,"淘宝-5.0,5.0,5.0"
娱乐,10048950,《夏洛特烦恼》定制周边特别来袭，为你充满魅力电能！,项目成功,10000.00,12199.00,212,4,29.00,4,0,1221,2015/11/25,否,85,30,"淘宝-,,"
娱乐,10047679,《长江七号超萌特攻队》全民“萌起来”,项目成功,10000.00,22727.00,687,5,2.00,5,0,590,2015/11/21,否,308,30,"淘宝-5.0,5.0,5.0"
娱乐,10047501,《007：幽灵党》造梦在行动，独家授权周边抢先发售,项目成功,10000.00,49722.00,356,0,0.00,7,0,844,2015/11/15,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10047400,贵妃献礼,项目成功,10000.00,33198.00,1639,0,0.00,6,0,3316,2015/12/15,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10046997,《槑计划》按计划带来最具设计感潮品，相约潮范的你！,项目成功,10000.00,12305.00,438,8,2.00,6,0,641,2015/11/13,否,259,30,"淘宝-5.0,5.0,5.0"
娱乐,10057177,《小门神》官方授权周边衍生品 博友不锈钢钥匙链挂件,项目成功,10000.00,13454.00,208,5,49.00,6,0,263,2016/01/24,否,65,60,"-4.8,4.8,4.8"
娱乐,10054671,《极盗者》版创新万能车载电源,项目成功,10000.00,34541.00,279,9,89.00,16,0,1309,2016/01/08,是,159,30,"-4.9,4.9,4.8"
娱乐,10046799,《我是证人》招募万人超前点映团,项目成功,300000.00,312380.00,3742,0,0.00,12,3,4291,2015/10/15,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10055764,乐帆魔镜 虚拟现实VR眼镜 移动式头盔眼镜,项目成功,8000.00,171024.00,1506,3,89.00,24,0,2843,2016/01/11,否,273,7,"-4.6,4.6,4.7"
娱乐,10053959,极盗者多功能户外运动摄影墨镜,项目成功,99000.00,144904.00,548,10,28.00,22,0,4485,2016/01/03,否,116,20,"-4.8,4.8,4.8"
娱乐,10045887,电影《第三种爱情》：与爱情有关，与现实有染,项目成功,10000.00,13780.00,370,0,0.00,17,1,1162,2015/11/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10046731,李晨nic独家限量款——FSJUICE排毒果蔬汁,项目成功,10000.00,21560.00,170,6,29.00,1,0,626,2015/11/11,否,15,30,"淘宝-4.8,4.8,4.8"
娱乐,10061569,《年兽大作战》  开学季－GPS定位防丢失儿童书包,项目成功,5000.00,14414.00,66,4,199.00,15,0,950,2016/03/02,否,23,20,"-4.7,4.7,4.7"
娱乐,10047140,《挑战者联盟》10.17偶像相约北京—“盟”在这里,项目成功,100000.00,105470.00,278,4,2.00,1,0,325,2015/10/16,是,144,7,"淘宝-5.0,5.0,5.0"
娱乐,20042669,《长江7号超萌特攻队》7仔携家族成员邀您“萌7来”,项目成功,20000.00,21084.10,127,0,0.00,6,0,296,2015/09/26,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10042114,心动益起来--唐嫣牵手娱乐宝邀您共筑先心儿康复梦想,制作中,500000.00,502129.00,6843,0,0.00,10,0,3447,2015/10/18,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10040999,《碟中谍5》美国设计，国内首发销售衍生品,项目成功,100000.00,113428.00,1487,16,2.00,3,6,755,2015/10/31,是,945,30,"淘宝-5.0,5.0,5.0"
娱乐,29900,《我和初恋的三次婚礼》片尾誓言彩蛋征集,制作中,2000.00,10331.30,269,0,0.00,1,0,385,2015/08/30,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,36217,2015土豆映像季,项目成功,20000.00,27191.80,352,10,19.90,14,2,480,2015/08/14,否,12,21,"淘宝-4.7,4.7,4.7"
娱乐,10043675,《港囧》电影周边众筹,制作中,10000.00,29237.00,802,12,59.00,15,0,823,2015/10/18,否,307,7,"淘宝-5.0,5.0,5.0"
娱乐,34207,《王朝的女人·杨贵妃》这份宠爱只想给最爱的人,项目成功,10000.00,11083.00,970,0,0.00,8,0,944,2015/08/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,33470,"《加油吧实习生》青春ING,火爆不NG",制作中,10000.00,22205.00,1663,0,0.00,8,1,1888,2015/09/04,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,32017,【落跑吧爱情演唱会】5米距离 聆听任贤齐爱的演唱会,制作中,10000.00,241658.00,1572,0,0.00,9,2,1538,2015/08/01,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10044918,上游轮与刘力扬共赴日韩之旅！更多生日限量周边等你！,项目成功,10000.00,50558.00,225,7,8.00,9,0,358,2015/10/11,是,160,15,"淘宝-5.0,5.0,5.0"
娱乐,10056987,【吉祥家】正版授权小门神主题家居软装,项目成功,1000.00,1700.80,74,7,9.50,7,0,307,2016/01/25,否,62,7,"-,,"
娱乐,30133,《虎妈猫爸》爱心募集“母亲邮包”,项目成功,10000.00,12175.00,1253,6,99.00,2,0,963,2015/07/31,否,18,7,"淘宝-4.9,4.9,4.9"
娱乐,10044523,《港囧》TST庭秘密囧膜 让您囧的萌萌哒,项目成功,10000.00,51267.00,970,7,19.00,6,0,1719,2015/11/20,否,500,20,"淘宝-4.8,4.8,4.8"
娱乐,30360,《栀子花开》青春尚好 我们同行,项目成功,10000.00,33499.00,2042,0,0.00,1,2,2955,2015/07/05,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,29165,活动主题：这个暑假  燃爆热血青春——偏偏喜欢你,项目成功,10000.00,38644.00,694,0,0.00,7,0,632,2015/07/20,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,27412,与地外文明的第一次接触,制作中,100000.00,366328.00,6566,0,0.00,5,0,2811,2015/07/25,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,26727,《赤道》——寻找男人的味道！,项目成功,15000.00,15683.00,332,0,0.00,4,0,384,2015/07/03,否,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,25339,哆啦A梦，好久不见！5.28不见不散！,制作中,30000.00,57685.00,960,0,0.00,2,0,561,2015/06/24,是,NOTFOUND,NOTFOUND,"淘宝-,,"
