项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
农业,20056304,【蜗牛生鲜】东海野生小黄鱼鲜味足蒜瓣肉,制作中,10000.00,25110.00,568,5,23.00,14,0,152,2017/01/05,否,338,5,"淘宝-,,"
农业,20055615,【蜗牛生鲜】 冰岛十年野生淡干红极海参50g,项目成功,10000.00,35107.00,120,3,77.00,11,1,110,2016/12/27,否,91,5,"淘宝-,,"
农业,20055799,【蜗牛生鲜】秭归中华红血橙，中华名果，现摘现发,制作中,10000.00,131966.40,3173,3,28.80,17,0,612,2016/12/27,否,2039,5,"淘宝-,,"
农业,20054543,新春祈愿早餐--高邮咸鸭蛋,项目成功,50000.00,88280.00,843,7,10.00,17,10,1382,2017/01/12,否,5,2,"淘宝-,,"
农业,20056288,【蜗牛生鲜】阿拉斯加极地雪蟹,项目成功,10000.00,75744.00,603,3,95.00,17,0,320,2017/01/05,否,259,5,"淘宝-,,"
农业,20056284,【蜗牛生鲜】新疆阿克苏冰糖心苹果，现摘现发,制作中,10000.00,160329.40,2810,4,49.80,1,0,642,2017/01/05,否,2070,3,"淘宝-,,"
农业,20055951,【蜗牛生鲜】智利进口sweet heart车厘子,制作中,10000.00,542526.00,5475,4,78.00,14,0,838,2016/12/27,否,3047,10,"淘宝-,,"
农业,20055632,【蜗牛生鲜】生态大草原的健康美味：内蒙散养羔羊肉,项目成功,10000.00,23370.00,254,4,69.00,17,0,169,2016/12/27,否,151,5,"淘宝-,,"
农业,20056117,【蜗牛生鲜】一鸽胜九鸡 没有自行采食的乳鸽,项目成功,10000.00,75452.00,669,4,88.00,9,2,202,2017/01/05,否,395,5,"-,,"
农业,20056269,【蜗牛生鲜】冰鲜熟冻 鲜香诱人 色香味美,项目成功,10000.00,23336.80,598,4,37.60,11,0,187,2017/01/05,否,593,5,"-,,"
农业,20055872,【蜗牛生鲜】和田墨玉黑鸡1.5kg,制作中,10000.00,12209.00,66,3,109.00,4,0,53,2016/12/27,否,10,5,"淘宝-,,"
农业,20055648,【蜗牛生鲜】荔浦芋头 坚持原生态种植品皇家贡品芋头,项目成功,10000.00,27619.50,761,4,22.00,5,0,120,2016/12/27,否,244,5,"淘宝-,,"
农业,20055661,【蜗牛生鲜】马来西亚树熟榴莲肉(前1千份买2送1),项目成功,10000.00,61304.00,491,8,60.00,15,0,205,2016/12/27,否,60,5,"淘宝-,,"
农业,20055722,【蜗牛生鲜】查干湖野生有机胖头鱼3-4斤,项目成功,10000.00,46414.00,354,5,99.00,11,0,153,2016/12/27,是,247,5,"淘宝-,,"
农业,20055692,【蜗牛生鲜】雪花牛腩-来自澳洲自有牧场的优质牛肉,项目成功,10000.00,48647.70,698,5,55.00,11,0,164,2016/12/27,否,476,3,"淘宝-,,"
农业,20055592,【蜗牛生鲜】冰鲜鲥鱼 长江三鲜之一,项目成功,10000.00,10976.00,64,4,159.00,5,0,44,2016/12/27,否,60,5,"淘宝-,,"
农业,20055730,【蜗牛生鲜】关于来自安吉深山里的深山之宝：安吉冬笋,项目成功,10000.00,51586.10,976,3,49.90,13,2,94,2016/12/27,否,929,3,"淘宝-,,"
农业,20052511,一酱，一故事,项目成功,50000.00,50690.00,1013,6,25.00,10,2,570,2016/12/29,否,65,7,"淘宝-,,"
农业,20056309,【蜗牛生鲜】加拿大即食北极甜虾熟冻虾1000g,制作中,10000.00,49706.00,653,3,72.00,10,0,303,2017/01/05,否,620,5,"-4.8,,"
农业,20055691,【蜗牛生鲜】当天海捕生蚝（牡蛎）鲜活肉大细嫩补锌,项目成功,10000.00,41323.00,785,5,35.00,15,0,265,2016/12/27,否,182,5,"淘宝-,,"
农业,20052404,【一个营养师的独白】每日坚果，精致轻食新主张,项目成功,50000.00,52799.70,387,2,59.90,13,0,309,2016/12/25,否,43,10,"淘宝-,,"
农业,20055605,【蜗牛生鲜】一千零一夜 之 鲅鱼水饺馅,项目成功,10000.00,25555.60,320,3,42.80,15,0,133,2016/12/27,否,-1000,3,"-,,"
农业,20050979,高颜值小青柑陈年柑普茶   严苛手艺仅存800份,项目成功,50000.00,97847.20,7027,6,1.20,28,0,1162,2016/12/19,否,6541,3,"淘宝-,,"
农业,20055621,【蜗牛生鲜】四川攀枝花米易枇杷新品上市,制作中,10000.00,69096.00,1242,5,44.90,1,0,232,2016/12/27,否,976,5,"-,,"
农业,20055670,【蜗牛生鲜】御用贡品 长白山参—长白山新鲜人参,项目成功,10000.00,34100.20,745,3,19.80,3,0,236,2016/12/27,否,449,5,"淘宝-,,"
农业,20049482,傣族古法风味牛肉干,项目成功,50000.00,55090.00,564,7,48.00,24,0,2239,2016/11/25,否,33,3,"淘宝-,,"
农业,20048804,"困了,累了,喝桐乡菊花茶!",项目成功,30000.00,35213.10,113,4,46.10,12,2,4212,2016/11/26,否,50,20,"淘宝-,,"
农业,20056182,【蜗牛生鲜】泌阳花菇 菇中之皇，地理标志保护特产,项目成功,10000.00,45377.80,1922,5,16.90,7,0,372,2017/01/05,否,1025,7,"-,,"
农业,20049836,关于为安化千两茶众筹一个未来,项目成功,50000.00,80389.30,635,8,9.90,11,0,1534,2016/11/26,是,265,15,"淘宝-,,"
农业,20051182,一份关怀一份情 回味乡甜 品平和琯溪蜜柚,项目成功,50000.00,51072.50,1234,5,29.90,20,3,478,2016/11/26,是,75,15,"-,,"
农业,20049891,【对不起 ！我们来晚了】从茶园到茶杯 铁观音茶叶,项目成功,50000.00,55052.00,984,4,38.00,15,0,352,2016/11/25,否,810,1,"淘宝-,,"
农业,20049895,【有机种植】新疆若羌一级灰枣 软糯香甜爽口,项目成功,1000.00,27782.00,264,4,89.00,8,0,188,2016/11/24,否,221,30,"淘宝-,,"
农业,20049926,酵素在身边--享“瘦”每一天,项目成功,50000.00,321740.90,1880,6,9.90,24,0,1616,2016/11/24,否,161,3,"淘宝-,,"
农业,20049676,冰岛300古树普洱茶：您与普洱仅仅一步之遥。,项目成功,50000.00,167007.00,1093,4,69.00,12,0,503,2016/12/03,否,560,5,"-,,"
农业,20049997,来自生态草原的美味风干牛肉干,项目成功,50000.00,73888.00,598,5,22.00,19,7,434,2016/11/15,否,170,5,"-,,"
农业,20049884,【蒜蓉辣椒酱】大蒜和辣椒的绝妙搭配,项目成功,50000.00,53321.90,2671,4,9.90,10,0,227,2016/11/24,否,1000,10,"淘宝-,,"
农业,20049863,关于来自深山老林里的深山之宝：西溪笋干,项目成功,50000.00,52510.00,480,4,32.00,6,0,1367,2016/11/25,否,109,15,"淘宝-,,"
农业,20049791,福鼎老白茶7年龄茶饼“一年茶，三年药，七年宝”,项目成功,50000.00,118192.00,514,4,118.00,16,1,2403,2016/11/25,否,171,7,"淘宝-,,"
农业,20048242,【众筹首发】100年兰陵酒始终如一的坚持，五粮浓香,项目成功,50000.00,66061.00,97,4,299.00,18,0,2189,2016/11/24,是,72,30,"淘宝-,,"
农业,20049476,一冬一酿，一坛好酒，七年封坛原浆酒等待有缘的你开启,项目成功,20000.00,64854.00,475,7,26.00,35,0,530,2016/11/21,否,161,2,"淘宝-,,"
农业,20049448,【等茶】赏一杯有情怀的--铁观音秋茶,项目成功,20000.00,21239.00,231,6,49.00,27,0,165,2016/11/18,否,129,5,"-,,"
农业,20049235,来自胶东半岛，山东农家铁锅炒制黑皮花生,项目成功,20000.00,36303.20,412,6,9.90,12,1,353,2016/11/21,否,187,7,"淘宝-,,"
农业,20049505,如果我老老实实种米，你愿意一辈子买我的米吗？,项目成功,20000.00,43498.00,334,0,0.00,8,0,535,2016/11/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
农业,20049516,【玫瑰花冠】花香萦绕，冠艳群芳,项目成功,50000.00,64344.00,1523,3,9.90,9,0,188,2016/11/22,否,100,7,"-,,"
农业,20050123,16年11月新收割晚稻大米做的宁波水磨年糕-喷喷香,项目成功,30000.00,38592.60,1887,3,9.80,18,0,787,2016/12/02,是,239,15,"-,,"
农业,20049555,【梦忧庄园】青海柴达木野生一级大果黑枸杞,项目成功,30000.00,52670.80,992,7,29.90,17,5,499,2016/11/16,否,368,1,"淘宝-,,"
农业,20049571,[富平柿饼]一生一柿 一辈子只做一件事,项目成功,50000.00,67032.80,1372,6,14.90,21,0,2317,2016/11/12,否,361,7,"-,,"
农业,20049936,【老兵创业】鄱阳湖的野鸭，大自然的味道,项目成功,50000.00,302412.00,2502,4,60.00,19,1,2287,2016/11/25,是,200,5,"-,,"
农业,20049404,关于皇帝蚌~女神蛤~人间美味象拔蚌,项目成功,50000.00,50292.00,614,4,36.00,10,0,283,2016/11/22,否,290,10,"淘宝-,,"
农业,20049634,传世国酱酒 釉下五彩 东方陶瓷,项目成功,50000.00,57445.00,157,5,9.90,6,0,824,2016/11/16,否,100,10,"淘宝-,,"
农业,20049305,沙漠奇珍肉苁蓉 无惧岁月逆生长,项目成功,10000.00,178103.00,2329,6,9.90,8,2,638,2016/11/20,是,200,3,"淘宝-,,"
