项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
科技,20057438,【薄出境界】北郡迷你超薄行车记录仪,筹款中,100000.00,1067604.00,2966,2,29.00,14,1,9072,2017/03/26,是,114,30,"淘宝-,,"
科技,20057423,Air7E真无线双耳耳机 TWS耳机 果粉必备,筹款中,100000.00,450145.00,1656,3,238.00,6,0,4107,2017/03/22,否,100,5,"淘宝-,,"
科技,20057966,智能指纹锁-开创U型锁新纪元,筹款中,100000.00,665067.24,1922,11,28.99,25,0,3104,2017/03/17,是,76,15,"-,,"
科技,20057854,美国西屋智能马桶盖|始于1886年,筹款中,100000.00,1144973.00,543,6,30.00,18,0,6195,2017/03/29,是,21,20,"淘宝-,,"
科技,20055282,青蜂WiFi智能无雾加湿空气净化器,筹款中,100000.00,89151.00,49,5,1699.00,20,0,3376,2017/03/12,否,43,30,"淘宝-,,"
科技,20058033,方太新一代大槽洗碗机X5,筹款中,100000.00,193959.00,131,6,9.90,1,0,1470,2017/03/20,是,100,30,"-,,"
科技,20056618,我们欠父母一台富氢机—— 富含氢分子 越喝越年轻！,筹款中,100000.00,1362792.00,369,4,3680.00,22,0,2826,2017/03/14,否,150,30,"淘宝-,,"
科技,20057003,InkCase 带屏幕的手机壳，一秒变双屏,制作中,100000.00,1347565.00,1935,2,599.00,22,4,6794,2017/02/20,是,16,30,"淘宝-,,"
科技,20053069,家电变智能家居迷你wifi手机远程控制万能遥控器,制作中,100000.00,125971.00,1275,7,9.90,23,2,1719,2017/02/18,否,10,30,"淘宝-,,"
科技,20057336,多功能无油烟可拆洗空气炸锅,制作中,100000.00,653422.00,1708,8,299.00,29,0,4560,2017/02/27,否,10,15,"淘宝-,,"
科技,20055979,iPhone相片扫描仪 将家里珍贵旧照片保存到手机,制作中,200000.00,213600.00,300,4,388.00,18,0,2335,2017/03/02,是,49,7,"淘宝-,,"
科技,20057105,一秒升级爱车，可移动车充蓝牙耳机,制作中,100000.00,4389693.00,20723,5,189.00,18,0,6441,2017/02/25,是,1000,30,"淘宝-,,"
科技,20056473,优美得不像智能手表 — a.b.art时尚智能腕表,制作中,200000.00,1700117.00,1383,13,199.00,14,5,9888,2017/03/10,是,37,30,"淘宝-,,"
科技,20056845,诺比克 一款纯木纹多功能空气净化器,制作中,100000.00,190030.00,788,4,199.00,9,0,1509,2017/02/15,否,710,30,"淘宝-,,"
科技,20057431,凯酷首款全新设计104RGB悬浮机械键盘,制作中,500000.00,511913.00,1249,4,99.00,15,0,1347,2017/03/11,否,37,30,"-,,"
科技,20056946,倍思T型侧插磁吸二合一数据线,制作中,100000.00,5863203.00,22755,8,29.00,21,0,6222,2017/02/24,是,300,30,"淘宝-,,"
科技,20052225,健康才会美！CRYSTAL美国美之源温泉净水器,制作中,50000.00,459229.00,938,8,299.00,30,1,2926,2017/03/01,是,24,30,"淘宝-,,"
科技,20057171,奥嘟比全景监控智能安防机器人,制作中,1000000.00,1391299.00,3803,10,39.00,17,0,6484,2017/03/11,否,300,15,"淘宝-,,"
科技,20057546,出行神器- Fold-A1智能折叠电动车,制作中,100000.00,666111.00,289,7,1999.00,26,0,30490,2017/03/04,是,20,30,"淘宝-,,"
科技,20056920,【三年磨一剑】秒速制热智能净饮控温一体机,制作中,100000.00,2311466.00,10642,5,188.00,12,1,10807,2017/03/07,否,10,30,"淘宝-,,"
科技,20056270,c-pat 真3D摄像机、拍摄属于自己的3D大片！,制作中,100000.00,1710011.00,1691,5,358.00,30,0,8641,2017/03/08,是,113,30,"淘宝-,,"
科技,20056954,QC3.0快速充电，充电10分钟，聊天4小时,制作中,100000.00,896551.20,7173,8,28.80,29,0,5334,2017/03/05,否,841,20,"淘宝-,,"
科技,20056176,暖度-度博士热饮杯,制作中,199999.00,300148.90,1376,8,9.90,34,0,2701,2017/03/02,是,564,30,"淘宝-,,"
科技,20056783,喵喵机 小到不可思议的打印机,制作中,100000.00,2334192.00,5511,5,199.00,11,2,12932,2017/02/04,是,4782,20,"淘宝-,,"
科技,20057055,手机也能拍大片Hello kitty手机拍摄稳定器,项目成功,50000.00,64489.00,111,5,499.00,24,0,370,2017/02/19,是,20,30,"淘宝-,,"
科技,20056232,手机操控边玩边擦 BOBOT智能全自动擦窗机器人,制作中,100000.00,5208861.00,4240,6,999.00,12,0,9113,2017/02/26,是,100,30,"淘宝-,,"
科技,20056877,可视眼部蒸汽补水气压仿手指按摩可控温热敷震动按摩仪,筹款中,300000.00,516200.00,761,5,338.00,31,0,4102,2017/03/17,是,50,30,"淘宝-,,"
科技,20056223,Det Twin 360°全视角VR全景相机,制作中,100000.00,1138063.00,696,5,899.00,24,4,2156,2017/03/01,是,100,10,"淘宝-,,"
科技,20055836,Mini Fan-桌面空气净化氛围灯+移动氧吧,制作中,100000.00,109574.00,385,5,38.00,30,2,869,2017/02/22,否,61,20,"-,,"
科技,20056575,您的颈部护理专家－Aerpl电磁热灸颈部按摩仪,制作中,100000.00,708843.00,3285,8,25.90,22,0,6516,2017/02/16,否,0,30,"淘宝-,,"
科技,20055981,【新春定制版】你的第一台无线吸尘器,制作中,100000.00,145438.00,342,7,399.00,28,0,3348,2017/02/04,否,221,30,"淘宝-,,"
科技,20056170,乐迈Z6磁吸防掉落脖带式运动蓝牙耳机,制作中,100000.00,330436.00,1432,3,199.00,20,0,4560,2017/02/25,否,30,30,"淘宝-,,"
科技,20056747,即将收官！A2第二个地球蓝牙音响，给自己的梦幻礼物,制作中,100000.00,637066.00,2968,6,108.00,25,0,2371,2017/03/05,否,43,20,"-,,"
科技,20056155,倍力奇双卡双待背夹式电源苹果手机壳,制作中,100000.00,2219335.00,7555,9,249.00,16,0,5057,2017/02/16,是,95,30,"淘宝-,,"
科技,20055484,“内在出彩 外在出色” 风行Q1智能助力电单车,制作中,50000.00,66778.00,22,3,2599.00,18,9,1115,2017/02/25,否,18,30,"淘宝-,,"
科技,20055949,卡奇莱德车载空气净化器，为您打造天然移动氧吧,制作中,100000.00,283511.00,587,5,69.00,33,0,5817,2017/02/04,是,39,30,"淘宝-,,"
科技,20055975,朵拉魔盒Q版 帮助孩子养成好习惯 陪伴孩子快乐成长,制作中,100000.00,153644.00,254,4,299.00,9,0,4167,2017/02/21,是,137,30,"淘宝-,,"
科技,20052994,智能助性，让爱爱更持久的SLONG AISS情趣环,制作中,100000.00,609292.00,2158,7,28.00,14,7,10728,2017/01/27,否,197,30,"淘宝-,,"
科技,20056061,SGUAI小水怪智能水杯 您的私人健康生活秘书,制作中,100000.00,1141170.00,6098,9,109.00,10,3,10025,2017/02/21,否,200,30,"-,,"
