项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
公益,28354,不让银叶树成为纸上的回忆,项目成功,10000.00,12475.00,708,7,5.00,14,4,298,2015/08/12,否,335,7,"淘宝-,,"
公益,22926,关爱烧伤儿童，给予他们“浴火重生”的希望,项目成功,10000.00,72510.00,1842,0,0.00,13,0,289,2015/06/30,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,22690,为大丰市失能老人送轮椅,项目成功,20000.00,23820.00,829,4,10.00,12,7,70,2015/06/29,是,627,5,"淘宝-,,"
公益,24608,全民证婚——首届网络公益集体婚礼,项目成功,10000.00,36324.00,13249,8,10.00,14,4,101,2015/06/15,是,552,30,"淘宝-,,"
公益,20783,关爱抗战老兵 向当年的抗战英雄致敬！,项目成功,5000.00,42764.00,3170,4,20.00,15,0,388,2015/06/14,否,617,5,"淘宝-,,"
公益,10047097,我最喜欢的季节是冬天——为受灾儿童送去壹基金温暖包,项目成功,200000.00,204117.00,8386,9,10.00,7,0,951,2015/12/12,否,1846,60,"-,,"
公益,22749,葱窝小学的娃娃想看书,项目成功,18400.00,34010.00,1154,5,10.00,9,2,216,2015/06/09,是,544,20,"淘宝-,,"
公益,21955,30个感人公益故事叩击心灵，见证孤儿坚强重生,项目成功,10000.00,10425.00,406,10,5.00,10,6,48,2015/06/30,是,23,30,"淘宝-,,"
公益,21421,守望相助撑起我们的日喀则 山水相依支援友邦尼泊尔,项目成功,300000.00,340450.00,10544,6,10.00,23,1,432,2015/05/08,否,8533,30,"淘宝-,,"
公益,17547,零铅工程,项目成功,30000.00,30746.00,467,0,0.00,8,2,49,2015/05/25,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,21492,和淘宝众筹一起紧急救援日喀则，有你救有力量,项目成功,30000.00,55830.00,1525,6,10.00,2,0,34,2015/05/08,否,1177,30,"淘宝-,,"
公益,20073,【宝贝早安】一起来关注贫困早产儿,项目成功,30000.00,31855.00,1309,5,10.00,9,2,53,2015/05/23,否,1065,20,"淘宝-,,"
公益,19308,让流浪和贫困失能母亲失家失能不失爱,项目成功,5000.00,16050.00,580,3,10.00,6,10,90,2015/05/31,否,420,10,"淘宝-,,"
公益,20113,ReLight环保台灯-寻找同路人，点亮生活点亮爱,项目成功,5000.00,8073.00,210,0,0.00,1,2,117,2015/05/21,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,18403,关注这8个空巢残疾老人，关注这个群体,项目成功,5000.00,17080.00,480,0,0.00,6,0,84,2015/05/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,19009,孤儿保障大行动，点滴善意，守护孤儿生命之光,项目成功,5000.00,23400.00,698,6,10.00,9,6,80,2015/05/16,是,514,30,"淘宝-,,"
公益,17748,留守一份真情，奉献一片爱心你不再孤独,项目成功,10000.00,10010.00,321,0,0.00,13,0,87,2015/05/07,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,17753,星缘守护公益计划，关爱自闭症儿童,项目成功,3000.00,29888.00,3899,11,50.00,6,1,122,2015/05/02,是,111,28,"淘宝-,,"
公益,28462,自然很美好，我想去看看 －深圳红树林生物多样性调查,项目成功,18525.00,18830.00,262,7,10.00,7,0,165,2015/09/01,否,99,30,"淘宝-,,"
公益,31834,棉花小豆豆艺术公益夏令营,项目成功,20000.00,20514.00,428,6,2.00,1,0,147,2015/08/07,否,177,20,"淘宝-,,"
公益,9040,世界公平贸易日，和他/她相遇在公平贸易派对！,项目成功,2015.00,2256.00,1066,2,120.00,9,2,29,2015/05/08,否,10,15,"淘宝-,,"
公益,15074,为阜宁县失能老人送轮椅,项目成功,20000.00,24550.00,834,4,10.00,11,10,354,2015/05/02,是,619,5,"淘宝-,,"
公益,10039990,让生活给“艾”一份希望、让爱得以延续！,项目成功,10000.00,10196.00,662,5,10.00,4,0,124,2015/10/23,是,638,2,"-,,"
公益,14635,【盆栽季】走进这片孤独的星空,项目成功,10000.00,56305.00,994,0,0.00,21,7,625,2015/04/20,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,12653,大爱无疆贫困孤老救助大行动,项目成功,10000.00,63020.00,2106,4,10.00,17,4,1042,2015/04/21,是,1382,30,"淘宝-,,"
公益,12028,喵星人爱心晚餐行动,项目成功,8000.00,17459.00,2524,6,25.00,18,0,271,2015/05/12,否,119,1,"淘宝-,,"
公益,20549,用“低碳包”打造你的低碳家,项目成功,10000.00,10203.00,236,9,20.00,7,0,56,2015/06/22,是,15,30,"-,,"
公益,13725,爱很简单，一杯水也是浓情蜜意,项目成功,29500.00,36380.00,1414,6,5.00,12,9,73,2015/04/04,是,516,7,"淘宝-,,"
公益,13607,假如我有一台相机,项目成功,3000.00,3100.00,162,3,10.00,11,1,45,2015/04/17,是,140,4,"淘宝-,,"
公益,20099,冰火6平米，拯救滇金丝猴,项目成功,10000.00,12761.64,964,12,4.22,19,0,172,2015/05/31,否,262,30,"-,,"
公益,12670,给孤儿一个家——玉树地震在京孤儿之家,项目成功,50000.00,72210.00,1899,6,10.00,9,3,121,2015/04/17,是,1071,20,"淘宝-,,"
公益,12440,“黄埔魂·中国梦”—纪念抗战胜利书画全国巡展活动,项目成功,10000.00,10208.00,265,5,20.00,9,0,25,2015/03/30,否,42,10,"淘宝-,,"
公益,10797,【小小的心，大大的孝】寸草心关爱老人计划,项目成功,14000.00,15650.00,585,0,0.00,14,1,83,2015/04/10,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,17032,"清明节,万朵菊花献英烈",项目成功,22000.00,44735.00,3587,5,5.00,10,10,157,2015/04/12,否,1178,30,"-,,"
公益,10884,空巢老人救助行动,项目成功,10000.00,39200.00,1220,4,10.00,9,10,136,2015/03/14,否,895,5,"淘宝-,,"
公益,10753,寒冬腊月，那些被温暖抛弃的孩子,项目成功,15000.00,44340.00,1505,0,0.00,17,0,169,2015/03/06,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,10161,关爱农村老人，送药下乡，期待下一秒您的支持,项目成功,30000.00,30020.00,1782,0,0.00,20,0,48,2015/03/02,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,9041,快乐，就是与她相遇在公平贸易派对！,项目成功,2015.00,2208.00,661,2,120.00,9,3,53,2015/02/27,否,13,15,"淘宝-,,"
公益,7307,来自大山 - 圆梦舞台第二季,项目成功,10000.00,12390.00,346,4,10.00,8,0,12,2015/01/28,是,293,30,"淘宝-,,"
公益,9974,让空巢老人过个快乐幸福年！,项目成功,10000.00,24730.00,789,4,10.00,8,10,73,2015/02/10,否,567,30,"淘宝-,,"
公益,9691,大山里的“奥运会”,项目成功,100000.00,146694.00,4527,0,0.00,12,9,196,2015/03/01,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,13875,一棵树，让春天不再寂静,项目成功,10000.00,96161.00,13235,10,12.00,11,0,423,2015/04/13,否,1567,30,"淘宝-,,"
公益,12360,【咖啡有爱】为中山市地中海贫血症患儿“加油”,制作中,100000.00,116617.00,5165,3,10.00,8,1,138,2015/03/12,是,4402,30,"淘宝-,,"
公益,7965,周笔畅 爱的分贝公益音乐会,项目成功,200000.00,1329200.00,6392,3,100.00,6,0,4562,2015/01/13,是,5391,60,"淘宝-,,"
公益,7717,燃煤驱寒意，高原学子情！,项目成功,30000.00,37560.00,1079,5,10.00,13,9,98,2015/02/01,否,615,20,"淘宝-,,"
公益,6797,关爱天下父母 关爱空巢老人,项目成功,30000.00,45960.00,1652,0,0.00,14,10,261,2015/01/28,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,6840,第一个新年礼物——赤脚娃娃的一双新鞋,项目成功,10000.00,154946.50,2943,4,10.00,4,0,290,2015/02/27,否,1192,20,"淘宝-,,"
公益,5611,支持卡酷公益T恤，救助意外伤害儿童,项目成功,10000.00,15820.00,644,6,10.00,7,5,198,2015/01/15,是,552,5,"淘宝-,,"
公益,5916,有钱，任性！“包养”滇金丝猴,项目成功,10000.00,15941.00,356,10,20.00,10,2,290,2015/01/19,是,247,30,"淘宝-,,"
公益,20502,守护海岸线，留住碧海红树,项目成功,10000.00,20815.00,643,7,5.00,5,4,88,2015/05/22,否,311,1,"-,,"
公益,5865,鲁甸的孩子，这个年，我们一起过,项目成功,60000.00,65601.20,1326,0,0.00,16,10,156,2015/01/04,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,5949,很多人的面包坊，做公益店主！,项目成功,80000.00,125230.00,1325,9,50.00,16,4,526,2015/01/14,是,675,30,"淘宝-,,"
公益,5419,1岁烫伤女宝的未来,项目成功,30000.00,39030.00,2105,3,5.00,2,2,192,2014/12/29,否,746,10,"淘宝-,,"
公益,5242,为碓叉小学的259双“小泥鞋”筹集壹基金温暖包,项目成功,100000.00,155022.00,4627,4,10.00,14,1,127,2014/12/16,是,3344,31,"淘宝-,,"
公益,4693,点亮你前行的路,项目成功,8000.00,8330.00,302,0,0.00,8,0,74,2014/12/18,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,4178,李静苗绣保护众筹，与你共续苗绣之缘,项目成功,10000.00,15922.80,333,3,9.90,6,0,243,2014/12/23,否,262,31,"淘宝-,,"
公益,3638,回归科尔沁——涅槃重生的青年草原,项目成功,20075.00,27630.00,407,0,0.00,19,3,114,2014/12/15,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,4574,七岁小姑娘艰难的换肝之旅,项目成功,30000.00,83615.00,5305,3,5.00,0,8,196,2014/12/14,否,1990,10,"淘宝-,,"
公益,3713,与三指画家一同关爱白血病患儿,项目成功,60000.00,100950.00,5027,0,0.00,16,0,386,2014/12/20,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,1359,【关爱动物】接种疫苗！拯救生命！,项目成功,5000.00,30250.00,722,5,30.00,10,0,281,2014/12/11,否,500,30,"淘宝-,,"
公益,3686,手把手教您如何去爱，2014年温暖行动,项目成功,10000.00,82800.00,333,5,200.00,6,0,156,2014/11/29,否,294,10,"淘宝-,,"
公益,11817,轮椅上的篮球梦,项目成功,30000.00,34840.00,283,12,20.00,13,0,112,2015/03/25,是,180,30,"-,,"
公益,3257,帮助高原上的孩子喝上干净水,项目成功,10000.00,85711.40,5274,6,2.00,11,9,0,2014/11/28,否,2086,30,"淘宝-,,"
公益,3517,寻找2700棵千年香榧古树 —— 守护者,项目成功,5000.00,16430.00,1135,0,0.00,10,0,209,2014/11/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,13847,饮水思源--长江源水生态环境保护站运转费用,项目成功,100000.00,140666.00,20035,11,12.00,24,3,323,2015/04/03,否,1578,15,"-,,"
公益,3322,万人众筹丽江宝山石头城——唤醒巨岩上沉睡的古村,项目成功,500000.00,526505.00,13522,9,35.00,16,0,1263,2014/11/19,是,3580,30,"淘宝-,,"
公益,3068,为爱奔跑，关注胆闭，携手同行,项目成功,30000.00,32170.00,2370,8,10.00,4,0,55,2014/11/25,是,2352,10,"淘宝-,,"
公益,2486,2015年韩红爱心百人公益行，下一站去哪？由你定,项目成功,10000.00,22885.00,22914,0,0.00,6,0,103,2014/10/16,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,2368,【有爱就有希望-晓瑾加油】,项目成功,50000.00,66140.00,1316,0,0.00,12,0,28,2014/10/12,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,2133,鲁甸灾后重建小学爱心包裹，助力灾区孩子的美好明天,项目成功,8000.00,17800.00,142,2,100.00,8,0,12,2014/10/13,是,106,15,"淘宝-4.9,4.9,4.9"
公益,2107,妈妈，永不放弃！------拯救“吸血鬼”症三兄妹,项目成功,300000.00,315470.00,4350,6,10.00,1,10,109,2014/10/06,是,2359,10,"淘宝-,,"
公益,1989,英雄故乡特产 传统手工中江挂面,项目成功,6000.00,7001.00,59,0,0.00,0,3,103,2014/09/14,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,2358,中国梦 书画情  残障人士专业书画图书馆,项目成功,42000.00,42990.00,244,10,10.00,8,1,17,2014/10/12,是,187,15,"淘宝-,,"
公益,7275,《二炮手》众筹“老兵红包”,制作中,10000.00,31600.00,648,7,20.00,1,0,132,2015/01/21,是,499,30,"淘宝-,,"
公益,5978,【我在城市的角落等你】李逢华流浪猫救助暖冬计划,项目成功,10000.00,71656.00,1775,6,8.00,13,3,317,2015/02/24,是,810,7,"-,,"
公益,1798,山清雨农·帮助山里的农民，让美味走出大山,项目成功,50000.00,71035.00,1004,0,0.00,8,5,307,2014/09/05,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,3413,富阳市湖源乡中心小学支教,项目成功,5000.00,8400.00,109,3,50.00,5,0,26,2014/11/25,否,72,7,"淘宝-,,"
公益,2006,万人众筹 300亩秭归脐橙生态农场,项目成功,30000.00,30652.00,316,3,58.00,14,0,38,2014/10/28,否,63,15,"-,,"
公益,1072,遂昌高坪高山生态米 留住稀少的传统农耕,项目成功,35000.00,55788.00,525,0,0.00,18,0,337,2014/10/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,2014,免费品尝，柿柿如意——我才不要做软柿子被你捏呢,项目成功,20000.00,20376.00,563,4,6.00,8,4,42,2014/10/18,否,496,5,"淘宝-,,"
公益,1263,“来自大山”圆山区少数民族孩子们的舞台梦,项目成功,8000.00,27980.00,518,4,10.00,5,0,43,2014/08/10,是,242,60,"淘宝-,,"
公益,20490,清除猎套，红外追踪，帮助东北虎“希望”安全过冬,项目成功,12800.00,28085.00,1770,10,5.00,15,1,113,2015/06/01,是,540,15,"-,,"
公益,13752,保护湿地：跟大雁迁徙，为候鸟护航,项目成功,30000.00,37440.00,5672,9,12.00,24,5,234,2015/04/13,是,576,10,"-,,"
公益,1628,大凉山彝族原始小黄豆探寻计划,项目成功,50000.00,51850.00,519,3,25.00,13,2,201,2014/09/17,否,98,3,"淘宝-,,"
公益,1992,临安沙门坞原生态蚯蚓蛋，为循环农业点赞,项目成功,30000.00,30700.00,49,5,68.00,19,4,77,2014/09/27,是,14,10,"-,,"
公益,1715,万人众筹，还一片良心果园给大家！,项目成功,30000.00,125390.00,2142,5,48.00,5,0,965,2014/09/06,否,1786,15,"淘宝-,,"
公益,1130,万人众筹，重建中国最美古村落,项目成功,50000.00,588623.00,16162,0,0.00,13,0,1087,2014/08/21,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,1162,众筹博爱--迎南而上--深商e天下十万瓶水赈灾急送！,项目成功,40000.00,45000.00,52499,0,0.00,22,0,892,2014/07/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,1210,众筹博爱--迎南而上--深商e天下5万瓶水赈灾急送！,项目成功,20000.00,22500.00,17300,0,0.00,23,0,23,2014/07/26,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,1163,众筹博爱--迎南而上--深商e天下十万方便面赈灾急送,项目成功,120000.00,145000.00,63198,0,0.00,22,0,678,2014/07/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
