项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,71863,田园东方亲子度假村,8,699,14,0,1
娱乐,71715,索尼XZ最终幻想觉醒定制版,4,599,14,0,3
娱乐,69731,Kuroro星空许愿包,5,149,3,0,8
娱乐,69897,沸雪因斯布鲁克纯正冰雪之旅,5,999,4,2,2
娱乐,69160,KT抽绳垃圾袋,5,20,13,0,1
娱乐,69444,《全职高手》动画点映会,8,19,7,1,1
娱乐,71364,星战双语小说与限量手办众筹,8,25,20,0,1
娱乐,70093,无人机培训双十二见面“惠”,9,2800,8,0,2
娱乐,70368,派迪茵迷你足球运动场,7,399,55,0,1
娱乐,71392,十二月的罗曼司圣诞爵士现场,7,8,16,0,1
娱乐,71758,多伦湖坝上冰雪大Party,5,99,10,0,5
娱乐,69907,澳洲价值发现之旅,6,15800,30,1,1
娱乐,70956,疾风之刃两周年限量手办,5,39,6,0,1
娱乐,69130,陈嘉明 西秦戏折子戏专场,3,5,19,0,7
娱乐,71490,栾树之礼,4,399,11,13,1
娱乐,69887,沸雪洛杉矶全新体验之旅,4,23999,4,2,2
娱乐,69239,高变峰 晋剧折子戏专场,3,5,18,0,7
娱乐,69230,罗晨雪 昆曲《夫的人》,3,5,14,0,7
娱乐,69221,裘识 京剧《珠帘寨》,3,5,17,0,7
娱乐,69225,訾睿 京剧《杨门女将》,3,5,16,0,7
娱乐,69233,刘煜 昆曲《阎惜娇》,3,5,11,0,7
娱乐,69658,熊猫A啦AR++魔法立体书,5,228,10,0,1
娱乐,69476,十年之约之龙凤呈祥,7,100,27,0,7
娱乐,66763,Tubo系列原创公仔,10,33,10,0,1
娱乐,69389,小状元儿童炫酷轮滑鞋,6,158,24,0,1
娱乐,67793,《星际迷航》真空保温杯,7,69,20,0,1
娱乐,69682,新一代EMS智能塑形健身仪,11,98,16,0,1
娱乐,69405,子文训练营·创业融资,8,119,7,0,7
娱乐,69288,轻运动·EMS健身生态馆,8,2,10,0,1
娱乐,66803,一次深度解析英国文化的旅行,3,20,8,0,1
娱乐,67356,十月“蟹”逅好吃好玩钓蟹节,6,238,15,0,1
娱乐,66422,小麦•软陶公仔,9,279,14,1,1
娱乐,68099,蓝堡椭圆仪-开启健康新生活,8,698,7,0,2
娱乐,68306,徒步天堂尼泊尔,5,100,10,0,5
娱乐,68659,健康猫运动生活馆19号馆,7,299,11,0,20
娱乐,69024,仙剑奇侠传官方漫画豪华版,4,70,6,0,1
娱乐,68726,旺旺 饼干礼盒kitty版,7,11,11,0,1
娱乐,68297,玩VR游戏 配蚁视二代头盔,7,3149,25,0,3
娱乐,68489,南海清水湾梦幻潜水之旅,5,2888,28,0,1
娱乐,68146,VR眼镜，我们不一样,6,49,14,0,3
娱乐,67224,胡了三国卡牌游戏,7,28,32,0,1
娱乐,67949,舰队2次元 操作萌娘战斗吧,9,2,33,10,1
娱乐,68773,做一个更懂生活的都市人,9,358,39,11,1
娱乐,65473,健康猫运动生活馆18号馆,7,299,11,0,20
娱乐,66156,国庆徙步攀登四姑娘山,5,100,20,0,5
娱乐,65695,黄景瑜《泽海鲸鱼》限量写真,2,199,13,0,4
娱乐,65485,奇幻斑斑之动物欢乐岛,5,99,5,0,1
娱乐,66326,健康猫运动生活馆15号馆,7,299,12,0,20
娱乐,65325,Machi Koro骰子街,10,47,35,0,2
娱乐,65607,MP1青少年编程套件,5,169,18,1,1
娱乐,65312,黄景瑜《泽海鲸鱼》限量写真,1,215,10,0,4
娱乐,65525,舞台声优剧《三昧》,7,80,15,0,1
娱乐,65450,黄景瑜《泽海鲸鱼》限量写真,1,199,11,0,4
娱乐,65566,黄景瑜《泽海鲸鱼》限量写真,3,199,10,0,4
娱乐,65986,耍帅撩汉来一板,9,129,17,1,2
娱乐,65745,新东方师训讲堂摄影大赛,5,19,4,0,1
娱乐,65310,徒步在天堂的国度-尼泊尔,6,5,15,0,1
娱乐,66202,伊吉康环保健身仰卧板,8,129,25,2,4
娱乐,66166,在思密达星遇见你,6,69,14,6,1
娱乐,64879,留住回忆，关爱摄影师,7,50,7,3,3
娱乐,64636,一部由你决定演员的电影,11,0,2,0,1
娱乐,65250,八月视觉 旅游中的婚纱照,4,498,67,1,2
娱乐,65180,中国首次环球飞行纪念限量表,5,2999,9,0,1
娱乐,64285,我们的客栈您来当掌柜,4,9990,8,0,1
娱乐,65154,加油向未来 炫酷的科学读本,8,69,17,1,1
娱乐,65211,2016乐杜鹃音乐节,10,280,9,2,1
娱乐,64962,武汉大学《珞樱1980s》,9,20,3,18,2
娱乐,59848,蒙古無南“游牧刺青”,5,1,10,0,1
娱乐,60273,青年插画师原创小黑伞  ,7,1,18,11,3
娱乐,64762,赏北疆秋色，徙步喀纳斯,5,100,24,0,5
娱乐,64227,泥泞跑上海站强势来袭,5,249,15,0,5
娱乐,60781,一把不辜负你天赋的吉他,4,599,5,0,1
娱乐,65096,都市精英3天2晚厦门之旅,4,2599,16,0,1
娱乐,64573,《勇者大冒险》神荼手办,4,39,6,0,1
娱乐,64321,全民枪战同款水弹枪,10,78,19,0,1
娱乐,64611,我帮穿越上头条,8,49,6,2,1
娱乐,60386,日本足利民居体验之旅,5,499,5,1,1
娱乐,64485,盗墓笔记瓶邪打火机,5,69,9,0,5
娱乐,64927,型动起来 做自己的冠军,9,39,14,0,1
娱乐,60166,库拉岗日雪山徙步,5,100,19,0,5
娱乐,60640,健康猫南京生活馆,7,299,5,0,20
娱乐,61557,百老汇爆笑音乐剧《Q大道》,5,179,20,0,1
娱乐,60375,《终极胜利》还原真实的历史,4,418,22,1,1
娱乐,61488,姜小虎带游ChinaJoy,7,5,4,0,1
娱乐,59925,巧手鲁班动漫衍生早教礼盒,6,258,15,0,2
娱乐,61801,我们总能进入世界杯,6,198,8,0,1
娱乐,60357,住帐篷酒店 享野奢露营之旅,10,239,13,0,1
娱乐,62504,《仙剑奇侠传》赵灵儿手办,3,598,12,0,1
娱乐,61742,里约2016年奥运火炬模型,6,99,20,0,1
娱乐,63822,单身男女的海外派对旅行,5,128,0,0,1
娱乐,63362,桌游大作《追求幸福人生》,6,233,5,0,2
