项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
其他,69425,汉草工坊百草萃取壶,8,68,18,0,1
其他,69607,陈妍希邀妳做MS漂亮合伙人,16,9,20,0,1
其他,69700,维核可调式颈托,6,299,8,0,1
其他,69702,润元免安装智能净水器,6,1999,13,1,1
其他,69489,贝森婴儿宝 宝宝安睡守护神,8,999,35,3,1
其他,69582,V6随身迷你空气净化器,6,158,26,8,1
其他,69288,轻运动·EMS健身生态馆,8,2,10,0,1
其他,69405,子文训练营·创业融资,8,119,7,0,7
其他,69233,刘煜 昆曲《阎惜娇》,3,5,11,0,7
其他,69239,高变峰 晋剧折子戏专场,3,5,18,0,7
其他,69413,舒倍立体分区智能鹅绒被,10,980,23,0,2
其他,69230,罗晨雪 昆曲《夫的人》,3,5,14,0,7
其他,69389,小状元儿童炫酷轮滑鞋,6,158,24,0,1
其他,69326,玩童亲子桌游—北京之旅,7,158,7,0,1
其他,69258,ihole智能前列腺按摩器,6,179,41,0,3
其他,69387,NICOMO加湿器,9,399,17,0,5
其他,69369,AIRVAX空气净化器,8,799,14,0,5
其他,69271,百力英伦儿童音乐智能牙刷,12,59,33,24,1
其他,69339,法国CARE高端智能跑步机,5,5680,34,0,1
其他,68868,时间的朋友2016跨年演讲,7,99,8,0,1
其他,69411,幸福约起，你不再孤单,15,149,29,0,1
其他,69221,裘识 京剧《珠帘寨》,3,5,17,0,7
其他,69225,訾睿 京剧《杨门女将》,3,5,16,0,7
其他,68867,不插电的电动咖啡磨豆机 ,8,69,19,1,4
其他,69237,凹凸租车好奇心众筹,8,1000,11,0,2
其他,69292,海尔母婴空气净化器,9,2499,18,0,1
其他,69150,老司机袁岳助你驾驭社会关系,5,168,6,0,7
其他,68842,180天，养成最强大脑,7,150,6,0,7
其他,68832,智能防霾温控口罩,7,39,10,0,1
其他,69027,美国jese洁氏真空储米箱,6,799,31,1,1
其他,69217,心锁版佳藕可弯折G点震动棒,8,69,15,0,2
其他,68886,德之源智能孝心保护伞,7,499,16,0,1
其他,69022,量量脉搏波智能手表,8,379,10,0,1
其他,69144,可以去牙渍的洁牙粉和牙刷,7,129,24,0,1
其他,68813,韩国原装进口家用空气净化器,10,178,39,0,1
其他,69086,小C 智能恒温碗,6,99,19,0,1
其他,69171,希澈AVORI智能声波牙刷,17,69,15,0,1
其他,68853,高露洁B150声波电动牙刷,4,99,7,16,1
其他,68726,旺旺 饼干礼盒kitty版,7,11,11,0,1
其他,68729,一款颠覆传统坐姿的神奇椅子,8,30,6,0,1
其他,68806,凯蒂猫生日纪念版移动电源,6,69,21,0,1
其他,68642,Qooca无线多功能研磨杯,8,329,5,0,1
其他,68513,小胖智能语音电水壶,11,168,14,0,1
其他,68501,亿健8088智能跑步机,7,99,35,0,3
其他,68559,亿健2017智能家用跑步机,7,2099,35,0,2
其他,68751,翊山妞妞椅 您的专属按摩师,6,3980,22,0,1
其他,68628,科贝尔智能单杯饮品机,19,299,30,0,1
其他,68810,美国西屋磁悬浮双核电动牙刷,8,329,9,0,1
其他,68676,进口coway空气净化器,5,2799,34,0,1
其他,68749,苏格伦四核直饮净水机,7,120,27,4,1
其他,68675,无耗材高效空气净化器,5,1699,26,1,1
其他,68647,盎思A618净饮机更净一步,6,999,13,0,1
其他,68761,新依科蓝氧鲜净洗菜机,5,2380,13,0,1
其他,68682,贝恩施 小导弹 智能体温计,8,59,12,18,1
其他,68146,VR眼镜，我们不一样,6,49,14,0,3
其他,68364,INXDO五指机能袜,6,99,8,1,1
其他,68400,X-1 工业级螺丝刀套装,6,69,12,9,3
其他,68322,卓力增压智能整烫系统,6,19999,6,0,1
其他,68347,兔哇二代飞机杯振动棒 娃娃,15,10,19,11,6
其他,68164,天宫秘策•韩方暖宫坐熏护垫,7,59,13,7,1
