项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,72880,绿色果蔬®食材洗净剂,5,68,13,0,1
设计,72711,鸿运当头宜兴紫砂茶宠摆件,9,99,15,0,5
设计,72793,带你走进英伦复古风·梦特娇,6,299,18,0,7
设计,72697,小蛮腰母婴空气净化器,10,998,9,1,2
设计,72596,为您定制款手工鳄鱼皮手表带,6,298,29,0,2
设计,72986,大师经典作品 印象咖啡杯,7,198,18,0,1
设计,72874,欧赫曼新一代孕妇托腹带,9,178,13,0,1
设计,72864,贝贝卡西侧翼保护安全座椅,5,558,1,0,1
设计,72943,天然抗菌无鼻夹儿童口罩,8,28,19,0,1
设计,72607,典藏级UFO限量机械腕表,5,3880,30,0,1
设计,72987,NFC智能项链,5,469,15,0,6
设计,72161,德国大马士革厨师刀,5,399,16,0,6
设计,72627,智慧小羊肖恩，语音交互玩偶,8,299,18,0,1
设计,72789,一双棉袜的工艺革命,13,57,17,0,4
设计,72566,防震护骨磁能穴位按摩鞋 ,7,399,13,17,1
设计,72394,暖冬黑科技4D陶瓷科技内衣,7,199,8,0,2
设计,72358,耐康长效抗菌袜子,6,78,3,1,4
设计,72250,冰刃·钛晶新材料陶瓷厨刀 ,8,99,8,0,1
设计,72276,陪宝宝长大的儿童安全座椅,6,399,13,4,1
设计,72549,来自尼罗河畔的温暖·梦特娇,7,299,8,0,7
设计,72249,360º旋转茶器,7,138,4,0,2
设计,72978,天意宝围兜，让妈妈们懒起来,8,8,21,10,1
设计,72431,澳洲ARBOR纯手工砧板,7,499,23,0,1
设计,72512,能净化空气的神奇养生枕头,7,219,5,0,1
设计,72183,"  猫太子新型坐姿矫正器",6,88,22,0,1
设计,72308,汉品多功能3D智能护理床,5,6999,16,0,2
设计,72383,户外蓝牙音箱净水随行杯,5,189,21,0,1
设计,72528,匠人精神 钻技聚能UU锅,7,385,23,2,1
设计,72458,AJ瑞士原装腕表 大师之作,7,2998,23,0,1
设计,72551,来自尼泊尔唐卡的新春祝福,38,800,20,3,22
设计,72562,百变婴儿车，带娃兜风神器,7,1680,23,4,2
设计,72043,心家宜智能线控电脑椅,8,949,28,0,1
设计,72127,爱子科技婴儿保,10,69,17,0,1
设计,72134,一条温暖你的纯羊绒围巾,6,389,9,0,1
设计,72144,《欢喜中国年》纯银纪念币,6,999,17,0,1
设计,72113,承载“记忆”的浮雕茶具,7,99,13,0,2
设计,71955,顾乐仕天然植物油基防鼾枕,6,179,10,0,1
设计,72097,纽吉拉苹果皮套，时尚我自己,7,299,28,0,1
设计,72131,全物理抗菌防螨95%鹅绒枕,9,269,24,0,2
设计,71801,花样年华·四季瓶安,11,168,27,0,4
设计,71843,小猪梦•可调适体颈椎枕,6,580,19,0,1
设计,71896,随时随地赛车对决实现年少梦,10,339,20,0,1
设计,71845,一辈子，爱上拥抱的温度,6,999,5,0,1
设计,71741,源自加拿大的95%鹅绒被,7,785,23,0,1
设计,71950,溯源博古·当禅心遇见建盏,19,186,8,0,11
设计,71882,肯尼迪总统椅  向经典致敬,10,868,20,2,1
设计,71861,问孝茶礼精品-献给爸妈的爱,9,118,20,0,7
设计,71545,百年匠心工艺：首席官旅行箱,7,498,7,3,4
设计,71516,慢慢做好一把伞,4,299,24,0,3
设计,71633,舒尚佳绫国礼真丝羊绒丝巾,6,329,18,0,2
设计,71600,追寻· 一缕看得见的“香”,11,86,8,0,11
设计,71620,一个行走的衣柜,6,998,40,0,1
设计,71689,异构设计款求婚钻戒,4,2999,29,0,1
设计,71732,便携式城市通勤背包,6,268,18,2,1
设计,71618,拯救和传承尼泊尔唐卡技艺Ⅲ,37,800,19,3,22
设计,71720,美丽策，让你的美会发光,5,2299,27,0,1
设计,71590,获美国工业设计大奖的碉楼壶,8,198,28,0,1
