项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
美食,69226,天然氧吧岱崮地貌蜂巢蜜,6,69,15,0,4
美食,69000,长白山·原香榛果,6,49,8,0,1
美食,69111,武夷山茶王争霸赛 获奖茶王,4,2000,13,0,1
美食,69483,百年梁平柚,7,99,21,0,1
美食,69317,做中国人的百宝箱,7,28,29,0,1
美食,69180,名山江湖,11,108,44,1,2
美食,69193,纯土特产零食苗家风味牛肉干,8,59,10,0,6
美食,69631,其乐无穷—茶小妞新派红茶,7,65,16,1,1
美食,69303,中意桥推荐贵族酒庄红葡萄酒,7,260,12,129,1
美食,68992,先农氏，中国现碾米开创者,8,10,15,0,1
美食,69286,武夷大红袍之【生肖肉宴】,15,20,9,0,11
美食,69443,秋季晚熟葡萄，甜！,6,158,7,56,1
美食,69014,美国FULHUM地球黑水,7,29,18,2,1
美食,69309,真年份酱酒—潭酒3年陈酿,5,119,55,0,2
美食,69208,原装进口泰国茉莉香米,7,99,23,23,1
美食,68726,旺旺 饼干礼盒kitty版,7,11,11,0,1
美食,68472,洋葱与红酒的奇幻旅程,7,19,15,0,1
美食,68934,政府助农兰考县铁棍山药,4,39,4,0,1
美食,68405,汇橙——汇聚赣南好脐橙,7,39,25,0,1
美食,68777,百年老树柿饼，纯手工制作,7,15,24,1,6
美食,68702,朕在泡，每天一坛新鲜泡菜,10,65,52,0,1
美食,68699,酿酒师的口粮酒6年平安窖酒,10,69,10,0,4
美食,68847,南宁比芙可以下饭的牛肉爽,8,16,20,0,1
美食,68939,秭归脐橙，好吃不仅是原产地,4,33,15,0,4
美食,68538,普洱龙珠茶，1粒能喝1整天,10,58,20,0,8
美食,68290,用舌尖去感受祁门红茶的魅力,6,118,21,0,2
美食,68176,正宗河南黑豆腐竹,5,49,16,1,1
美食,68255,阿银卡多献给教皇的红酒,4,398,16,4,1
美食,68740,王小可 你左手边的方寸绿洲,7,88,21,3,1
美食,68894,深山的甜蜜问候千岛湖地瓜干,6,35,20,6,2
美食,68182,众筹圆梦，过把酱瘾！,7,49,13,9,1
美食,67640,西双版纳百年古树普洱熟茶,6,88,14,0,2
美食,67657,东阿阿胶蓝帽子阿胶枣,5,69,19,2,1
美食,68080,自然农法铁观音，原味传承,6,298,11,0,1
美食,67712,特色茅台镇纯坤沙真牛角老酒,10,89,11,0,7
美食,67743,北京水源地问候—黄土坎鸭梨,4,35,9,0,1
美食,67745,还原手工港式奶茶的滋味,7,42,18,0,3
美食,67806,沂蒙原生态自然成熟槐花蜂蜜,5,128,14,0,2
美食,67767,马祖陈高-- 台湾玉浆之冠,5,688,21,2,1
美食,68168,普洱之王班章，无品质不臻藏,7,49,34,0,3
美食,67672,罐装龙米稻花香，惊艳每一顿,12,59,25,0,1
美食,67795,火山岩节水春谷小米御用贡米,5,18,16,0,2
美食,67673,望香，品味纯粹浓香。,9,168,16,4,3
美食,68051,买得起的限量金奖酒,14,218,17,1,1
美食,67969,山西太行山脉金秋蜜脆柿,7,23,7,0,1
美食,67967,六年洞藏老酒——茅台镇出品,8,98,12,33,1
美食,66768,苏尼特草原羊肉节,8,128,22,1,1
美食,68035,先生的茶·职场版,9,68,10,8,1
美食,66710,福州茉莉花红茶，最后一季,6,56,17,0,2
美食,67564,山东特产蜂蜜罐红薯甜蜜上市,4,29,18,0,4
美食,66893,我是茶管家，每月寄你一份茶,12,80,34,0,8
美食,67236,火焰杰克威士忌全新登场,7,188,60,1,3
美食,66664,手工酱香 台嗣众筹,7,99,15,0,1
美食,66776,私人订制文化遗产陈皮普洱,13,26,17,0,4
美食,67196,千年茅台镇53°酱香星国液,4,128,26,0,1
美食,67145,茅台镇老酒私藏3年纯坤沙酒,8,69,11,0,7
美食,66601,稚童灵鹿 普洱飘香通天地,6,899,10,0,3
美食,66791,长白山椴树蜜 自然纯正好蜜,8,35,5,0,1
美食,67194,童年记忆里的老北京饮料,6,48,15,1,1
美食,67393,人间至味不过一碗米饭,5,49,27,2,4
美食,67042,民勤大枣 承载民勤人的希望,4,40,17,0,1
美食,66986,时光洋河之火红印记,5,666,20,0,1
美食,67554,可以喝的怀山药,8,1,10,1,1
美食,66474,樱味兵团-樱桃发酵酒,7,139,10,0,1
美食,65845,不忘初心  建始匠心红提,7,88,5,0,1
美食,66444,"给鸭子一个家,给未来个希望",6,10,13,2,4
美食,66577,臻品宣威火腿一头猪只取6斤,10,99,11,0,6
美食,66386,泉城印象 芝麻香型美酒礼盒,6,98,9,0,1
美食,65875,酒圣赖高淮亲酿“好的酒”,12,348,14,0,1
美食,66524,一块有颜有料有温度的黑糖,6,35,24,2,4
美食,65994,品鉴来自1.5万海里的醇厚,7,128,19,0,1
美食,66047,健康在参边—长白山鲜人参,7,49,30,0,4
美食,66143,董酒密藏记忆中的那瓶好酒,6,99,14,0,1
美食,65965,好料下饭 一勺足矣！,7,99,18,0,1
美食,66376,恒大兴安新米30天脱壳到餐,5,199,42,0,1
美食,66409,遗失的经典 大回酱香酒,8,178,5,0,1
美食,66501,詹旭生之国礼茶,9,222,10,38,1
美食,66384,利人“栗”己，筹农场助学梦,7,8,11,0,1
美食,65929,封藏30年，斟满一辈子,8,138,5,0,2
美食,65513,挽回逝去的味道，团圆月饼,6,59,18,18,4
美食,65475,福鲍·鲍鱼红烧肉,10,48,22,0,1
