项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
出版,2304,看！恐龙-AR互动科普绘本,11,1,9,0,1
出版,1926,告诉你一个逗比的英帝国,6,1,5,0,1
出版,1985,小熊尼奥AR立体口袋动物园,9,1,16,1,1
出版,1145,复古阅读运动 崇贤馆巾箱本,5,99,6,0,3
出版,1212,飞飞兔智能图书,7,1,9,0,1
出版,1973,冯仑约你见面聊聊新活法,10,1,5,2,1
出版,957,香吻食物链顶端的男人！,6,1,1,0,1
出版,978,与国民女神的第一次遇见,5,59,10,0,1
出版,1075,与袁腾飞一起聊历史听京剧,5,26,3,0,1
出版,814,夏东豪邀你一起心灵SPA！,8,25,8,0,1
出版,875,赵嘉&爱摄影重磅新书揭幕,5,69,9,0,1
出版,1304,2014星云奖，回到未来！,7,5,5,3,1
出版,1287,揭开P2P神秘面纱,3,30,7,1,1
出版,1935,画一个属于我们的绿色地球,5,35,3,0,1
出版,1378,开启全新的养犬时代,8,1,5,0,1
出版,1690,请全国小朋友免费读绘本,6,69,4,0,1
出版,777,和阿狸一起实现法国童话之旅,6,1,5,0,3
出版,382,《我爱我家》20周年大聚会,4,50,10,0,1
出版,601,庐客请全国人民免费看书啦！,5,59,4,0,1
出版,743,带上爱人去欧洲,6,39,8,0,1
出版,194,周鸿祎约你私密午餐会,10,35,4,0,2
